@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
1,PRICE
18,TITLE
16,TITLE
18,TITLE
1,PRICE
2,CPU
16,TITLE
3,GPU
14,TITLE
1,PRICE
16,TITLE
13,TITLE
1,PRICE
13,TITLE
1,PRICE
16,TITLE
18,TITLE
15,TITLE
1,PRICE
17,TITLE
1,PRICE
13,TITLE
15,TITLE
15,TITLE
1,PRICE
16,TITLE
14,TITLE
16,TITLE
14,TITLE
14,TITLE
14,TITLE
1,PRICE
19,TITLE
1,PRICE
14,TITLE
14,TITLE
1,PRICE
19,TITLE
3,CPU
1,SCREEN_SIZE
17,TITLE
18,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
16,TITLE
18,TITLE
1,PRICE
1,RAM_CAPACITY
4,CPU
1,CPU_FREQ
14,TITLE
1,PRICE
17,TITLE
1,PRICE
17,TITLE
1,PRICE
20,TITLE
15,TITLE
1,PRICE
14,TITLE
1,PRICE
17,TITLE
1,PRICE
13,TITLE
33,TITLE
13,TITLE
18,TITLE
1,PRICE
4,CPU
17,TITLE
15,TITLE
1,PRICE
13,TITLE
13,TITLE
13,TITLE
1,PRICE
16,TITLE
1,PRICE
15,TITLE
1,PRICE
3,GPU
15,TITLE
13,TITLE
1,PRICE
14,TITLE
22,TITLE
1,PRICE
4,CPU
14,TITLE
1,PRICE
12,TITLE
1,PRICE
3,CPU
1,SCREEN_SIZE
18,TITLE
1,PRICE
16,TITLE
14,TITLE
13,TITLE
12,TITLE
1,PRICE
17,TITLE
1,PRICE
15,TITLE
14,TITLE
1,PRICE
13,TITLE
1,PRICE
16,TITLE
1,PRICE
14,TITLE
1,PRICE
16,TITLE
1,PRICE
11,TITLE
1,PRICE
18,TITLE
1,PRICE
4,CPU
18,TITLE
12,TITLE
17,TITLE
1,PRICE
14,TITLE
1,PRICE
16,TITLE
13,TITLE
15,TITLE
1,PRICE
14,TITLE
1,PRICE
15,TITLE
1,PRICE
17,TITLE
1,PRICE
13,TITLE
1,PRICE
14,TITLE
1,PRICE
21,TITLE
1,PRICE
14,TITLE
1,PRICE
15,TITLE
11,TITLE
2,CPU
19,TITLE
1,PRICE
16,TITLE
1,PRICE
17,TITLE
3,CPU
13,TITLE
17,TITLE
20,TITLE
1,PRICE
17,TITLE
1,PRICE
23,TITLE
1,PRICE
16,TITLE
1,PRICE
14,TITLE
1,PRICE
17,TITLE
1,PRICE
15,TITLE
12,TITLE
1,PRICE
1,SCREEN_SIZE
15,TITLE
1,PRICE
14,TITLE
1,PRICE
13,TITLE
1,PRICE
4,CPU
3,SCREEN_RESOLUTION
18,TITLE
1,PRICE
14,TITLE
16,TITLE
1,PRICE
18,TITLE
1,PRICE
1,STORAGE_HDD
14,TITLE
14,TITLE
1,PRICE
14,TITLE
17,TITLE
1,PRICE
13,TITLE
15,TITLE
1,PRICE
15,TITLE
1,PRICE
15,TITLE
2,GPU
15,TITLE
1,PRICE
3,SCREEN_RESOLUTION
12,TITLE
14,TITLE
1,PRICE
14,TITLE
14,TITLE
1,PRICE
14,TITLE
14,TITLE
1,PRICE
15,TITLE
1,PRICE
17,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
10,TITLE
2,CPU
14,TITLE
18,TITLE
1,PRICE
17,TITLE
1,PRICE
14,TITLE
1,PRICE
15,TITLE
1,PRICE
15,TITLE
14,TITLE
14,TITLE
1,PRICE
3,CPU
3,SCREEN_RESOLUTION
13,TITLE
4,CPU
14,TITLE
12,TITLE
18,TITLE
1,PRICE
18,TITLE
1,PRICE
15,TITLE
15,TITLE
1,PRICE
13,TITLE
1,PRICE
13,TITLE
14,TITLE
1,PRICE
19,TITLE
1,PRICE
17,TITLE
4,OS
16,TITLE
1,PRICE
13,TITLE
1,PRICE
17,TITLE
1,PRICE
15,TITLE
14,TITLE
14,TITLE
18,TITLE
1,PRICE
15,TITLE
1,PRICE
17,TITLE
1,PRICE
12,TITLE
2,CPU
10,TITLE
1,PRICE
13,TITLE
1,PRICE
1,SCREEN_SIZE
15,TITLE
1,PRICE
17,TITLE
1,PRICE
15,TITLE
1,PRICE
13,TITLE
1,PRICE
14,TITLE
14,TITLE
19,TITLE
14,TITLE
1,PRICE
16,TITLE
1,PRICE
14,TITLE
13,TITLE
1,PRICE
3,CPU
14,TITLE
18,TITLE
13,TITLE
1,PRICE
17,TITLE
1,PRICE
16,TITLE
1,PRICE
15,TITLE
1,PRICE
13,TITLE
1,PRICE
19,TITLE
18,TITLE
1,PRICE
15,TITLE
12,TITLE
16,TITLE
1,PRICE
16,TITLE
18,TITLE
17,TITLE
1,PRICE
14,TITLE
16,TITLE
1,PRICE
3,GPU
17,TITLE
1,PRICE
15,TITLE
1,PRICE
14,TITLE
13,TITLE
3,CPU
15,TITLE
15,TITLE
1,PRICE
18,TITLE
1,PRICE
17,TITLE
14,TITLE
12,TITLE
13,TITLE
1,PRICE
17,TITLE
17,TITLE
1,PRICE
1,SCREEN_SIZE
15,TITLE
1,PRICE
12,TITLE
13,TITLE
3,CPU
13,TITLE
13,TITLE
18,TITLE
16,TITLE
1,PRICE
15,TITLE
1,PRICE
16,TITLE
1,PRICE
2,GPU
17,TITLE
15,TITLE
14,TITLE
14,TITLE
1,PRICE
17,TITLE
1,PRICE
15,TITLE
16,TITLE
1,PRICE
14,TITLE
12,TITLE
4,CPU
16,TITLE
18,TITLE
1,PRICE
17,TITLE
19,TITLE
1,PRICE
17,TITLE
1,PRICE
3,GPU
3,CPU
17,TITLE
1,PRICE
14,TITLE
1,PRICE
13,TITLE
18,TITLE
4,CPU
20,TITLE
1,PRICE
16,TITLE
15,TITLE
14,TITLE
1,PRICE
22,TITLE
17,TITLE
1,PRICE
14,TITLE
1,PRICE
12,TITLE
1,PRICE
15,TITLE
15,TITLE
1,PRICE
20,TITLE
1,PRICE
14,TITLE
1,PRICE
21,TITLE
10,TITLE
3,CPU
12,TITLE
1,PRICE
19,TITLE
1,PRICE
14,TITLE
1,PRICE
15,TITLE
18,TITLE
13,TITLE
3,CPU
14,TITLE
1,PRICE
17,TITLE
1,PRICE
17,TITLE
1,PRICE
13,TITLE
1,PRICE
17,TITLE
18,TITLE
1,PRICE
1,STORAGE_HDD
13,TITLE
13,TITLE
1,PRICE
14,TITLE
1,SCREEN_SIZE
14,TITLE
15,TITLE
17,TITLE
16,TITLE
1,PRICE
3,GPU
17,TITLE
12,TITLE
15,TITLE
1,PRICE
21,TITLE
1,PRICE
6,TITLE
15,TITLE
13,TITLE
3,CPU
1,CPU_FREQ
13,TITLE
15,TITLE
1,PRICE
4,CPU
13,TITLE
17,TITLE
17,TITLE
16,TITLE
2,CPU
14,TITLE
1,PRICE
4,CPU
13,TITLE
1,PRICE
16,TITLE
1,PRICE
12,TITLE
14,TITLE
14,TITLE
13,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
1,PRICE
20,TITLE
1,PRICE
15,TITLE
1,PRICE
15,TITLE
18,TITLE
16,TITLE
1,PRICE
11,TITLE
16,TITLE
17,TITLE
1,PRICE
14,TITLE
1,PRICE
16,TITLE
1,PRICE
16,TITLE
1,PRICE
14,TITLE
14,TITLE
1,PRICE
16,TITLE
4,CPU
3,SCREEN_RESOLUTION
17,TITLE
1,PRICE
15,TITLE
1,PRICE
14,TITLE
14,TITLE
13,TITLE
13,TITLE
1,PRICE
15,TITLE
15,TITLE
19,TITLE
21,TITLE
17,TITLE
1,PRICE
12,TITLE
21,TITLE
1,PRICE
1,CPU_FREQ
16,TITLE
4,CPU
15,TITLE
1,PRICE
15,TITLE
1,PRICE
19,TITLE
1,PRICE
20,TITLE
1,PRICE
15,TITLE
1,PRICE
15,TITLE
14,TITLE
1,PRICE
14,TITLE
18,TITLE
1,PRICE
18,TITLE
1,PRICE
14,TITLE
15,TITLE
3,CPU
18,TITLE
1,PRICE
15,TITLE
1,PRICE
16,TITLE
1,PRICE
19,TITLE
14,TITLE
1,PRICE
3,CPU
14,TITLE
1,PRICE
3,SCREEN_RESOLUTION
15,TITLE
4,CPU
13,TITLE
13,TITLE
18,TITLE
16,TITLE
1,PRICE
14,TITLE
15,TITLE
1,PRICE
15,TITLE
1,PRICE
19,TITLE
1,PRICE
16,TITLE
15,TITLE
1,PRICE
4,CPU
19,TITLE
15,TITLE
1,PRICE
13,TITLE
9,TITLE
14,TITLE
15,TITLE
1,PRICE
14,TITLE
17,TITLE
15,TITLE
13,TITLE
17,TITLE
1,PRICE
17,TITLE
1,PRICE
14,TITLE
13,TITLE
1,PRICE
15,TITLE
13,TITLE
1,PRICE
15,TITLE
13,TITLE
28,TITLE
1,PRICE
17,TITLE
1,PRICE
13,TITLE
14,TITLE
1,PRICE
14,TITLE
13,TITLE
1,PRICE
2,GPU
12,TITLE
13,TITLE
1,PRICE
13,TITLE
1,PRICE
13,TITLE
21,TITLE
20,TITLE
13,TITLE
18,TITLE
1,PRICE
16,TITLE
1,PRICE
13,TITLE
14,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
18,TITLE
14,TITLE
15,TITLE
1,PRICE
14,TITLE
18,TITLE
2,GPU
13,TITLE
17,TITLE
20,TITLE
1,PRICE
3,CPU
14,TITLE
15,TITLE
18,TITLE
16,TITLE
14,TITLE
3,OS
1,PRICE
4,CPU
3,SCREEN_RESOLUTION
9,TITLE
14,TITLE
13,TITLE
16,TITLE
18,TITLE
1,SCREEN_SIZE
16,TITLE
14,TITLE
21,TITLE
1,PRICE
14,TITLE
11,TITLE
13,TITLE
1,SCREEN_SIZE
18,TITLE
14,TITLE
1,PRICE
15,TITLE
20,TITLE
15,TITLE
14,TITLE
14,TITLE
1,PRICE
17,TITLE
1,PRICE
18,TITLE
1,PRICE
15,TITLE
14,TITLE
1,PRICE
4,CPU
19,TITLE
13,TITLE
16,TITLE
1,PRICE
14,TITLE
19,TITLE
19,TITLE
18,TITLE
1,PRICE
15,TITLE
12,TITLE
16,TITLE
15,TITLE
14,TITLE
2,GPU
16,TITLE
15,TITLE
1,PRICE
15,TITLE
1,PRICE
19,TITLE
22,TITLE
1,PRICE
14,TITLE
19,TITLE
13,TITLE
18,TITLE
14,TITLE
12,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
14,TITLE
1,PRICE
12,TITLE
14,TITLE
1,PRICE
16,TITLE
1,PRICE
3,CPU
12,TITLE
1,PRICE
14,TITLE
17,TITLE
4,CPU
13,TITLE
15,TITLE
1,PRICE
17,TITLE
15,TITLE
1,PRICE
4,CPU
1,SCREEN_SIZE
15,TITLE
16,TITLE
1,PRICE
14,TITLE
13,TITLE
15,TITLE
1,PRICE
17,TITLE
1,PRICE
18,TITLE
11,TITLE
15,TITLE
1,PRICE
15,TITLE
1,PRICE
15,TITLE
17,TITLE
13,TITLE
4,CPU
1,SCREEN_SIZE
15,TITLE
1,PRICE
2,RAM_TYPE
1,SCREEN_SIZE
11,TITLE
3,OS
2,SIM_CARD_TYPE
1,PRICE
2,CAMERA_FRONT
2,SCREEN_SIZE
3,SCREEN_RESOLUTION
11,TITLE
2,CAMERA_FRONT
11,TITLE
3,OS
2,CPU_FREQ
2,SCREEN_SIZE
15,TITLE
3,OS
2,SIM_CARD_TYPE
1,PRICE
1,RAM_CAPACITY
2,CAMERA_FRONT
2,SCREEN_RESOLUTION
11,TITLE
2,CPU_FREQ
2,SCREEN_SIZE
11,TITLE
1,PRICE
2,CAMERA_FRONT
4,SCREEN_RESOLUTION
12,TITLE
2,SCREEN_RESOLUTION
10,TITLE
2,SCREEN_RESOLUTION
11,TITLE
10,TITLE
2,CAMERA_FRONT
1,SCREEN_RESOLUTION
11,TITLE
3,OS
10,TITLE
2,OS
1,PRICE
2,CPU_CORES
10,TITLE
3,OS
2,CPU
2,CPU_FREQ
2,SCREEN_SIZE
2,SCREEN_RESOLUTION
10,TITLE
1,OS
1,PRICE
2,SCREEN_SIZE
12,TITLE
1,CPU
2,SCREEN_SIZE
11,TITLE
10,TITLE
11,TITLE
1,PRICE
2,SCREEN_RESOLUTION
9,TITLE
10,TITLE
9,TITLE
1,PRICE
9,TITLE
1,PRICE
1,CPU
12,TITLE
2,CPU_FREQ
10,TITLE
1,PRICE
12,TITLE
1,PRICE
11,TITLE
11,TITLE
1,PRICE
1,SCREEN_RESOLUTION
11,TITLE
1,PRICE
1,SCREEN_RESOLUTION
15,TITLE
2,CPU
10,TITLE
1,PRICE
11,TITLE
1,PRICE
8,TITLE
1,PRICE
13,TITLE
1,PRICE
2,CAMERA_FRONT
2,SCREEN_SIZE
11,TITLE
11,TITLE
11,TITLE
1,PRICE
10,TITLE
10,TITLE
3,OS
1,PRICE
9,TITLE
11,TITLE
10,TITLE
11,TITLE
11,TITLE
11,TITLE
10,TITLE
2,OS
1,PRICE
10,TITLE
1,PRICE
2,CPU_FREQ
12,TITLE
1,PRICE
12,TITLE
11,TITLE
12,TITLE
13,TITLE
9,TITLE
2,CAMERA_FRONT
11,TITLE
2,CPU_FREQ
2,CAMERA_FRONT
10,TITLE
12,TITLE
1,PRICE
10,TITLE
1,PRICE
9,TITLE
2,SIM_CARD_TYPE
1,PRICE
2,CPU
11,TITLE
10,TITLE
1,PRICE
2,SCREEN_SIZE
11,TITLE
10,TITLE
1,PRICE
11,TITLE
1,PRICE
10,TITLE
11,TITLE
1,PRICE
10,TITLE
1,PRICE
13,TITLE
2,CPU_FREQ
10,TITLE
1,PRICE
10,TITLE
1,PRICE
10,TITLE
11,TITLE
4,SIM_CARD_TYPE
1,PRICE
12,TITLE
10,TITLE
11,TITLE
2,CPU
2,CAMERA_FRONT
2,SCREEN_RESOLUTION
9,TITLE
11,TITLE
10,TITLE
1,PRICE
11,TITLE
11,TITLE
1,PRICE
9,TITLE
1,PRICE
1,CPU
9,TITLE
4,TITLE
2,CPU
11,TITLE
1,PRICE
11,TITLE
10,TITLE
3,CAMERA_FRONT
2,SCREEN_SIZE
12,TITLE
1,PRICE
12,TITLE
1,PRICE
12,TITLE
2,CPU
2,CAMERA_FRONT
11,TITLE
9,TITLE
11,TITLE
1,PRICE
10,TITLE
2,CPU
1,CPU_FREQ
11,TITLE
1,PRICE
10,TITLE
1,PRICE
11,TITLE
9,TITLE
11,TITLE
1,PRICE
10,TITLE
1,PRICE
11,TITLE
10,TITLE
2,CPU_FREQ
2,SCREEN_RESOLUTION
11,TITLE
1,PRICE
9,TITLE
1,PRICE
4,TITLE
1,CPU
11,TITLE
1,CPU_FREQ
10,TITLE
2,CAMERA_FRONT
11,TITLE
1,PRICE
10,TITLE
1,PRICE
9,TITLE
13,TITLE
1,PRICE
10,TITLE
12,TITLE
11,TITLE
10,TITLE
10,TITLE
2,CPU_FREQ
2,CPU_CORES
7,TITLE
1,PRICE
12,TITLE
1,PRICE
11,TITLE
1,PRICE
11,TITLE
10,TITLE
1,CPU_FREQ
10,TITLE
1,PRICE
11,TITLE
11,TITLE
1,PRICE
12,TITLE
1,PRICE
10,TITLE
1,PRICE
11,TITLE
11,TITLE
1,PRICE
6,TITLE
11,TITLE
11,TITLE
10,TITLE
10,TITLE
9,TITLE
1,PRICE
10,TITLE
1,PRICE
10,TITLE
1,PRICE
2,SCREEN_SIZE
11,TITLE
9,TITLE
1,OS
1,PRICE
11,TITLE
10,TITLE
1,CPU_FREQ
9,TITLE
10,TITLE
9,TITLE
11,TITLE
1,PRICE
11,TITLE
13,TITLE
1,PRICE
11,TITLE
11,TITLE
1,PRICE
11,TITLE
1,PRICE
11,TITLE
9,TITLE
9,TITLE
1,OS
1,PRICE
1,RAM_CAPACITY
1,CPU_FREQ
2,SCREEN_RESOLUTION
11,TITLE
11,TITLE
1,PRICE
7,TITLE
1,PRICE
11,TITLE
4,OS
1,PRICE
12,TITLE
10,TITLE
1,CPU
9,TITLE
10,TITLE
11,TITLE
12,TITLE
11,TITLE
9,TITLE
12,TITLE
2,CPU_FREQ
10,TITLE
11,TITLE
12,TITLE
10,TITLE
1,CPU_FREQ
12,TITLE
1,PRICE
10,TITLE
7,TITLE
2,CPU
14,TITLE
1,WIFI
10,TITLE
3,OS
1,PRICE
3,CPU
1,SCREEN_SIZE
3,SCREEN_RESOLUTION
1,COLOR
11,TITLE
1,PRICE
1,SCREEN_SIZE
2,COLOR
14,TITLE
2,CPU
10,TITLE
13,TITLE
1,PRICE
2,SCREEN_SIZE
3,SCREEN_RESOLUTION
12,TITLE
1,PRICE
2,WIFI
15,TITLE
3,CPU
1,SCREEN_SIZE
13,TITLE
3,OS
2,CPU
1,SCREEN_SIZE
14,TITLE
15,TITLE
2,CPU
14,TITLE
1,SCREEN_SIZE
8,TITLE
1,PRICE
2,CPU
1,SCREEN_SIZE
2,COLOR
13,TITLE
1,PRICE
2,CPU
10,TITLE
1,PRICE
1,SCREEN_SIZE
12,TITLE
2,COLOR
17,TITLE
3,CPU
12,TITLE
1,PRICE
1,SCREEN_SIZE
14,TITLE
3,CPU
17,TITLE
4,CPU
12,TITLE
13,TITLE
11,TITLE
9,TITLE
1,PRICE
2,COLOR
15,TITLE
1,PRICE
12,TITLE
1,PRICE
1,SCREEN_SIZE
11,TITLE
1,PRICE
12,TITLE
15,TITLE
3,CPU
1,SCREEN_SIZE
3,SCREEN_RESOLUTION
12,TITLE
1,PRICE
10,TITLE
15,TITLE
3,CPU
1,CPU_FREQ
3,SCREEN_RESOLUTION
10,TITLE
1,PRICE
1,SCREEN_SIZE
3,SCREEN_RESOLUTION
8,TITLE
1,PRICE
2,CPU
2,CPU_FREQ
2,SCREEN_SIZE
12,TITLE
17,TITLE
1,PRICE
1,COLOR
11,TITLE
12,TITLE
13,TITLE
1,CPU
13,TITLE
1,PRICE
15,TITLE
3,CPU
14,TITLE
3,CPU
2,CPU_FREQ
14,TITLE
1,PRICE
14,TITLE
3,CPU
12,TITLE
12,TITLE
15,TITLE
4,CPU
11,TITLE
1,PRICE
4,CPU
1,SCREEN_SIZE
3,COLOR
14,TITLE
16,TITLE
3,CPU
13,TITLE
1,PRICE
14,TITLE
13,TITLE
10,TITLE
1,PRICE
18,TITLE
4,CPU
14,TITLE
1,PRICE
1,SCREEN_SIZE
14,TITLE
11,TITLE
12,TITLE
11,TITLE
1,PRICE
10,TITLE
15,TITLE
1,PRICE
3,CPU
12,TITLE
14,TITLE
1,PRICE
13,TITLE
11,TITLE
4,CPU
1,COLOR
16,TITLE
2,CPU
13,TITLE
1,PRICE
14,TITLE
15,TITLE
10,TITLE
1,PRICE
13,TITLE
1,PRICE
14,TITLE
1,SCREEN_SIZE
14,TITLE
4,CPU
15,TITLE
1,PRICE
8,TITLE
2,OS
2,CPU
2,CPU_FREQ
11,TITLE
13,TITLE
11,TITLE
10,TITLE
13,TITLE
1,PRICE
18,TITLE
3,CPU
15,TITLE
2,CPU
10,TITLE
10,TITLE
14,TITLE
12,TITLE
10,TITLE
11,TITLE
10,TITLE
1,PRICE
8,TITLE
15,TITLE
11,TITLE
1,PRICE
10,TITLE
10,TITLE
1,PRICE
15,TITLE
17,TITLE
1,PRICE
12,TITLE
11,TITLE
10,TITLE
1,CPU
13,TITLE
8,TITLE
1,CPU
15,TITLE
2,OS
1,PRICE
4,CPU
11,TITLE
11,TITLE
14,TITLE
1,PRICE
11,TITLE
1,PRICE
11,TITLE
11,TITLE
15,TITLE
1,PRICE
4,CPU
10,TITLE
1,PRICE
2,OS
3,CPU
15,TITLE
1,PRICE
6,TITLE
1,PRICE
