@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,10,SCREEN_SIZE
3,15,SCREEN_TYPE
3,23,TITLE
1,4,PRICE
6,36,TITLE
1,4,BLUETOOTH_VERSION
1,4,PRICE
5,32,BATTERY_CAPACITY
3,9,RAM_CAPACITY
2,7,CAMERA_BACK
4,14,WEIGHT
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
3,16,SCREEN_TYPE
8,39,TITLE
1,4,PRICE
5,33,BATTERY_CAPACITY
3,17,CPU_CORES
4,15,WEIGHT
12,43,PRODUCT_SIZE
8,38,TITLE
11,56,TITLE
3,22,OS
5,33,BATTERY_CAPACITY
2,5,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
11,56,TITLE
5,23,TITLE
5,22,TITLE
1,5,PRICE
5,23,TITLE
6,32,TITLE
2,9,BLUETOOTH_VERSION
3,8,USB_VERSION
6,25,OS
1,6,PRICE
3,20,WIFI
5,36,BATTERY_CAPACITY
4,23,GPU
3,13,CPU
12,62,CPU_CORES
2,5,WEIGHT
6,24,PRODUCT_SIZE
2,9,SCREEN_SIZE
4,30,SCREEN_TYPE
4,18,SCREEN_RESOLUTION
2,10,COLOR
6,32,TITLE
1,6,PRICE
8,45,TITLE
6,28,USB_VERSION
4,19,OS
1,5,PRICE
3,23,WIFI
5,34,BATTERY_CAPACITY
4,22,GPU
3,13,CPU
14,70,CPU_CORES
3,14,EXTERNAL_MEMORY
2,6,WEIGHT
6,20,PRODUCT_SIZE
2,11,SCREEN_SIZE
2,18,SCREEN_TYPE
4,17,SCREEN_RESOLUTION
8,43,TITLE
2,9,BLUETOOTH_VERSION
8,39,USB_VERSION
1,6,PRICE
4,23,GPU
13,63,CPU_CORES
5,39,SCREEN_TYPE
1,4,COLOR
7,37,TITLE
1,6,PRICE
3,13,CPU
12,62,CPU_CORES
2,6,STORAGE_SSD
6,34,TITLE
1,6,PRICE
6,34,TITLE
5,23,OS
1,6,PRICE
5,36,BATTERY_CAPACITY
4,24,GPU
3,12,CPU
6,17,PRODUCT_SIZE
2,15,SCREEN_TYPE
7,36,TITLE
5,24,OS
1,6,PRICE
5,36,BATTERY_CAPACITY
4,23,GPU
6,31,CPU
16,77,CPU_CORES
2,6,WEIGHT
6,20,PRODUCT_SIZE
2,15,SCREEN_TYPE
4,18,SCREEN_RESOLUTION
6,32,TITLE
1,6,PRICE
8,45,TITLE
1,6,PRICE
6,34,TITLE
1,6,PRICE
2,17,CPU
10,43,CPU_CORES
7,38,TITLE
1,6,PRICE
5,36,BATTERY_CAPACITY
3,9,RAM_CAPACITY
17,99,GPU
3,13,CPU
13,69,CPU_CORES
2,6,WEIGHT
6,20,PRODUCT_SIZE
2,11,SCREEN_SIZE
5,25,SCREEN_TYPE
4,18,SCREEN_RESOLUTION
10,51,TITLE
8,39,USB_VERSION
1,6,PRICE
7,32,GPU
6,31,CPU
13,63,CPU_CORES
2,6,WEIGHT
6,23,PRODUCT_SIZE
13,71,TITLE
1,6,PRICE
2,11,RAM_TYPE
3,19,CPU
1,6,CPU_FREQ
17,79,TITLE
3,10,DEVICE_TYPE
5,23,OS
1,5,PRICE
2,10,RAM_TYPE
3,14,GPU
1,6,CPU_FREQ
15,96,TITLE
1,3,DEVICE_TYPE
1,5,PRICE
3,16,GPU
4,19,CPU
1,6,CPU_FREQ
1,3,STORAGE_HDD
16,94,TITLE
3,14,OS
1,7,PRICE
4,19,CPU
1,6,CPU_FREQ
15,99,TITLE
1,5,DEVICE_TYPE
1,5,PRICE
4,18,CPU
15,100,TITLE
1,7,PRICE
2,12,GPU
4,20,CPU
1,6,CPU_FREQ
15,90,TITLE
1,5,PRICE
3,16,GPU
1,6,CPU_FREQ
13,87,TITLE
3,13,OS
1,7,PRICE
4,20,CPU
1,6,CPU_FREQ
14,100,TITLE
1,7,PRICE
4,20,CPU
1,6,CPU_FREQ
17,97,TITLE
1,7,PRICE
4,21,CPU
11,62,TITLE
3,17,OS
1,6,PRICE
1,7,CPU
20,94,TITLE
1,5,PRICE
2,12,RAM_TYPE
1,6,CPU_FREQ
14,98,TITLE
2,10,DEVICE_TYPE
1,6,PRICE
4,18,CPU
1,4,CPU_FREQ
17,98,TITLE
1,6,PRICE
4,21,CPU
1,6,CPU_FREQ
10,58,TITLE
1,6,PRICE
17,88,TITLE
1,7,PRICE
13,61,TITLE
4,19,CPU
1,6,CPU_FREQ
15,99,TITLE
4,23,DEVICE_TYPE
1,7,PRICE
3,15,GPU
14,99,TITLE
1,7,PRICE
4,23,CPU
16,105,TITLE
1,7,PRICE
4,21,CPU
16,94,TITLE
1,4,PRICE
3,19,CPU
1,4,CPU_FREQ
17,101,TITLE
1,5,PRICE
4,16,CPU
17,100,TITLE
1,7,PRICE
3,17,GPU
14,75,TITLE
5,30,DEVICE_TYPE
2,10,OS
1,6,PRICE
2,8,CPU
1,6,CPU_FREQ
12,62,TITLE
2,11,DEVICE_TYPE
1,6,PRICE
2,8,CPU
15,86,TITLE
1,7,PRICE
1,6,GPU
4,22,CPU
1,6,CPU_FREQ
14,87,TITLE
1,4,PRICE
3,16,GPU
4,18,CPU
1,6,CPU_FREQ
18,111,TITLE
1,7,PRICE
17,103,TITLE
1,7,PRICE
4,19,CPU
12,76,TITLE
2,16,DEVICE_TYPE
17,100,TITLE
1,7,PRICE
3,15,GPU
16,99,TITLE
4,27,OS
1,6,PRICE
1,2,STORAGE_SSD
17,99,TITLE
1,7,PRICE
16,97,TITLE
5,37,OS
17,79,TITLE
1,4,PRICE
16,92,TITLE
1,7,PRICE
17,79,TITLE
1,5,PRICE
3,14,GPU
1,4,CPU_FREQ
10,63,TITLE
1,5,DEVICE_TYPE
1,6,PRICE
4,21,CPU
17,99,TITLE
1,7,PRICE
3,13,GPU
13,93,TITLE
1,7,PRICE
4,18,CPU
16,91,TITLE
1,4,PRICE
3,16,GPU
4,16,CPU
14,72,TITLE
1,6,PRICE
11,65,TITLE
3,15,OS
1,6,PRICE
3,19,CPU
15,83,TITLE
1,5,PRICE
12,84,TITLE
1,6,PRICE
4,21,CPU
17,104,TITLE
1,7,PRICE
1,5,STORAGE_SSD
18,85,TITLE
1,5,PRICE
16,92,TITLE
1,7,PRICE
15,90,TITLE
1,7,PRICE
2,8,CPU
13,69,TITLE
2,5,OS
1,6,PRICE
2,10,RAM_TYPE
2,9,CPU
1,5,STORAGE_HDD
15,87,TITLE
1,7,PRICE
4,19,CPU
1,6,CPU_FREQ
14,88,TITLE
1,5,PRICE
3,20,CPU
1,6,CPU_FREQ
36,196,TITLE
6,47,OS
1,7,PRICE
3,20,CPU
18,100,TITLE
1,7,PRICE
1,4,RAM_CAPACITY
4,16,CPU
11,66,TITLE
1,6,PRICE
20,93,TITLE
1,7,PRICE
16,112,TITLE
1,7,PRICE
2,12,GPU
4,20,CPU
17,101,TITLE
1,4,PRICE
4,17,CPU
15,88,TITLE
3,14,OS
1,7,PRICE
1,2,STORAGE_SSD
16,94,TITLE
1,6,PRICE
16,92,TITLE
1,7,PRICE
4,22,CPU
13,86,TITLE
1,11,DEVICE_TYPE
1,7,PRICE
3,11,CPU
16,90,TITLE
1,7,PRICE
4,21,CPU
18,102,TITLE
1,4,PRICE
4,18,CPU
1,6,CPU_FREQ
18,97,TITLE
1,7,PRICE
3,16,GPU
4,22,CPU
1,6,CPU_FREQ
9,48,TITLE
4,18,OS
1,4,PRICE
12,80,TITLE
1,7,PRICE
18,102,TITLE
1,4,PRICE
18,100,TITLE
1,7,PRICE
1,6,CPU_FREQ
11,66,TITLE
1,6,PRICE
3,19,CPU
1,6,CPU_FREQ
11,75,TITLE
1,4,PRICE
4,21,CPU
16,94,TITLE
1,7,PRICE
13,67,TITLE
1,6,PRICE
4,19,CPU
15,73,TITLE
1,4,PRICE
11,65,TITLE
1,6,PRICE
17,109,TITLE
1,7,PRICE
10,58,TITLE
1,6,PRICE
17,102,TITLE
1,4,PRICE
3,19,CPU
18,97,TITLE
1,7,PRICE
16,101,TITLE
1,7,PRICE
1,5,STORAGE_SSD
16,94,TITLE
1,4,PRICE
4,19,CPU
16,99,TITLE
1,7,PRICE
10,62,TITLE
1,6,PRICE
14,84,TITLE
4,18,CPU
11,65,TITLE
1,6,PRICE
4,21,CPU
13,77,TITLE
2,9,OS
1,7,PRICE
2,8,CPU
1,7,CPU_FREQ
12,69,TITLE
1,3,DEVICE_TYPE
1,7,PRICE
3,15,GPU
4,22,CPU
11,71,TITLE
1,6,PRICE
13,81,TITLE
1,6,PRICE
3,14,GPU
16,93,TITLE
1,7,PRICE
11,75,TITLE
1,7,PRICE
15,100,TITLE
1,7,PRICE
1,5,CPU
17,81,TITLE
1,5,PRICE
3,14,GPU
16,100,TITLE
1,7,PRICE
10,66,TITLE
1,7,PRICE
16,89,TITLE
1,4,PRICE
17,112,TITLE
1,7,PRICE
3,18,GPU
16,93,TITLE
1,6,PRICE
1,3,STORAGE_SSD
11,65,TITLE
12,70,TITLE
1,6,PRICE
16,91,TITLE
1,4,PRICE
3,12,CPU
15,97,TITLE
1,5,PRICE
13,87,TITLE
1,7,PRICE
4,20,CPU
1,6,CPU_FREQ
8,45,TITLE
1,6,PRICE
1,8,CPU
10,62,TITLE
1,4,PRICE
14,79,TITLE
1,7,PRICE
4,20,CPU
12,67,TITLE
4,19,CPU
1,6,CPU_FREQ
17,107,TITLE
1,7,PRICE
3,16,GPU
4,19,CPU
14,80,TITLE
1,6,PRICE
4,19,CPU
16,100,TITLE
1,7,PRICE
4,19,CPU
16,91,TITLE
1,7,PRICE
3,18,CPU
16,100,TITLE
2,12,GPU
15,86,TITLE
4,19,CPU
1,6,CPU_FREQ
19,100,TITLE
1,7,PRICE
4,23,CPU
1,3,CPU_FREQ
1,3,STORAGE_SSD
14,90,TITLE
1,6,PRICE
2,11,CPU
14,94,TITLE
1,7,PRICE
15,89,TITLE
1,6,PRICE
3,19,CPU
17,99,TITLE
1,7,PRICE
15,89,TITLE
1,7,PRICE
4,18,CPU
1,6,CPU_FREQ
11,64,TITLE
2,9,OS
1,6,PRICE
3,19,CPU
19,108,TITLE
1,7,PRICE
15,87,TITLE
1,7,PRICE
4,19,CPU
15,86,TITLE
1,7,PRICE
4,19,CPU
16,100,TITLE
16,85,TITLE
1,7,PRICE
13,87,TITLE
1,7,PRICE
15,100,TITLE
1,7,PRICE
13,72,TITLE
4,17,OS
1,5,PRICE
14,82,TITLE
14,86,TITLE
1,6,PRICE
12,68,TITLE
3,19,CPU
13,74,TITLE
1,7,PRICE
13,81,TITLE
1,7,PRICE
13,82,TITLE
1,6,PRICE
4,18,CPU
14,90,TITLE
1,7,PRICE
18,100,TITLE
1,7,PRICE
4,23,CPU
15,92,TITLE
1,6,PRICE
4,19,CPU
13,75,TITLE
1,7,PRICE
4,18,CPU
18,107,TITLE
1,5,PRICE
4,20,CPU
19,111,TITLE
1,7,PRICE
3,16,GPU
4,20,CPU
1,5,STORAGE_SSD
16,100,TITLE
1,7,PRICE
4,18,CPU
12,67,TITLE
1,6,PRICE
4,18,CPU
13,84,TITLE
3,19,CPU
15,92,TITLE
1,7,PRICE
13,85,TITLE
3,19,CPU
15,86,TITLE
16,94,TITLE
1,7,PRICE
12,73,TITLE
14,77,TITLE
1,4,PRICE
2,10,CPU
13,77,TITLE
1,7,PRICE
16,99,TITLE
1,7,PRICE
14,77,TITLE
1,7,PRICE
14,89,TITLE
1,7,PRICE
13,75,TITLE
4,19,CPU
15,85,TITLE
1,7,PRICE
12,61,TITLE
1,6,PRICE
13,78,TITLE
1,5,PRICE
13,75,TITLE
1,6,PRICE
17,100,TITLE
1,5,PRICE
12,68,TITLE
1,7,PRICE
3,11,CPU
13,83,TITLE
14,92,TITLE
17,100,TITLE
1,7,PRICE
3,18,GPU
4,20,CPU
13,75,TITLE
1,6,PRICE
15,96,TITLE
1,6,PRICE
14,79,TITLE
1,7,PRICE
18,106,TITLE
1,7,PRICE
3,16,GPU
4,20,CPU
15,86,TITLE
21,117,TITLE
1,7,PRICE
4,22,CPU
14,88,TITLE
1,4,SCREEN_SIZE
15,89,TITLE
1,4,PRICE
1,6,SCREEN_SIZE
17,100,TITLE
1,7,PRICE
14,91,TITLE
1,7,PRICE
4,19,CPU
1,6,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
14,94,TITLE
1,7,PRICE
4,19,CPU
16,96,TITLE
1,6,SCREEN_SIZE
13,75,TITLE
14,81,TITLE
1,7,PRICE
17,99,TITLE
15,86,TITLE
1,7,PRICE
16,101,TITLE
13,71,TITLE
1,7,PRICE
14,75,TITLE
1,7,PRICE
18,100,TITLE
1,6,PRICE
14,90,TITLE
1,7,PRICE
14,90,TITLE
1,7,PRICE
15,86,TITLE
1,4,PRICE
13,85,TITLE
1,7,PRICE
4,20,CPU
3,11,SCREEN_RESOLUTION
17,100,TITLE
14,77,TITLE
1,7,PRICE
1,6,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
15,86,TITLE
1,6,PRICE
16,100,TITLE
13,69,TITLE
1,4,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
17,89,TITLE
1,5,PRICE
3,11,SCREEN_RESOLUTION
14,79,TITLE
1,7,PRICE
21,119,TITLE
4,23,CPU
14,75,TITLE
1,7,PRICE
17,89,TITLE
1,5,PRICE
16,100,TITLE
1,7,PRICE
1,6,SCREEN_SIZE
17,98,TITLE
1,7,PRICE
1,6,SCREEN_SIZE
13,80,TITLE
1,7,PRICE
16,87,TITLE
1,7,PRICE
14,89,TITLE
1,6,SCREEN_SIZE
15,98,TITLE
1,7,PRICE
4,18,CPU
3,11,SCREEN_RESOLUTION
15,89,TITLE
1,6,PRICE
13,80,TITLE
15,100,TITLE
1,7,PRICE
3,18,CPU
14,82,TITLE
1,5,PRICE
12,67,TITLE
1,7,PRICE
16,98,TITLE
1,7,PRICE
3,15,GPU
1,3,CPU_FREQ
14,83,TITLE
1,7,PRICE
18,100,TITLE
1,7,PRICE
12,69,TITLE
1,7,PRICE
3,13,CPU
13,74,TITLE
5,35,TITLE
1,6,PRICE
14,75,TITLE
20,100,TITLE
1,5,PRICE
1,4,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
15,89,TITLE
14,74,TITLE
14,92,TITLE
1,6,PRICE
3,19,CPU
13,76,TITLE
16,90,TITLE
1,4,PRICE
3,13,CPU
1,8,SCREEN_SIZE
18,98,TITLE
3,16,GPU
1,3,CPU_FREQ
13,84,TITLE
1,7,PRICE
12,68,TITLE
1,6,PRICE
18,94,TITLE
14,80,TITLE
14,80,TITLE
1,6,PRICE
15,92,TITLE
1,7,PRICE
13,86,TITLE
1,5,PRICE
14,85,TITLE
18,94,TITLE
3,10,SCREEN_RESOLUTION
19,107,TITLE
1,7,PRICE
15,86,TITLE
1,6,PRICE
14,77,TITLE
1,7,PRICE
17,98,TITLE
1,7,PRICE
16,96,TITLE
1,5,PRICE
13,75,TITLE
1,6,PRICE
13,85,TITLE
1,7,PRICE
13,76,TITLE
1,7,PRICE
2,11,GPU
17,99,TITLE
1,7,PRICE
15,72,TITLE
1,5,PRICE
14,83,TITLE
1,7,PRICE
14,78,TITLE
1,7,PRICE
14,77,TITLE
1,4,PRICE
3,10,SCREEN_RESOLUTION
13,72,TITLE
1,6,SCREEN_SIZE
18,99,TITLE
14,90,TITLE
17,100,TITLE
1,7,PRICE
18,100,TITLE
1,9,OS
1,4,RAM_CAPACITY
17,100,TITLE
1,7,PRICE
16,98,TITLE
14,89,TITLE
1,7,PRICE
1,4,SCREEN_SIZE
12,70,TITLE
4,19,CPU
13,63,TITLE
3,11,CPU
13,74,TITLE
1,7,PRICE
2,13,GPU
15,83,TITLE
1,7,PRICE
14,80,TITLE
1,7,PRICE
19,118,TITLE
1,7,PRICE
1,3,CPU_FREQ
14,93,TITLE
1,7,PRICE
18,100,TITLE
16,95,TITLE
18,100,TITLE
1,7,PRICE
2,7,CPU
16,91,TITLE
3,16,GPU
14,85,TITLE
1,7,PRICE
16,92,TITLE
13,69,TITLE
1,5,PRICE
13,83,TITLE
1,6,PRICE
16,93,TITLE
18,114,TITLE
15,95,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
13,74,TITLE
15,93,TITLE
15,88,TITLE
1,7,PRICE
16,83,TITLE
14,87,TITLE
16,100,TITLE
14,87,TITLE
14,98,TITLE
14,91,TITLE
1,6,PRICE
19,112,TITLE
1,7,PRICE
14,85,TITLE
14,100,TITLE
1,7,PRICE
19,98,TITLE
3,16,CPU
1,6,SCREEN_SIZE
17,99,TITLE
18,99,TITLE
1,5,PRICE
14,80,TITLE
1,7,PRICE
14,85,TITLE
16,102,TITLE
18,100,TITLE
1,7,PRICE
1,2,RAM_CAPACITY
4,23,CPU
1,3,CPU_FREQ
14,80,TITLE
1,7,PRICE
17,99,TITLE
1,7,PRICE
17,99,TITLE
1,7,PRICE
20,122,TITLE
15,87,TITLE
1,7,PRICE
14,88,TITLE
1,7,PRICE
17,92,TITLE
1,6,PRICE
13,88,TITLE
33,189,TITLE
13,72,TITLE
18,100,TITLE
1,7,PRICE
4,20,CPU
17,99,TITLE
15,85,TITLE
1,4,PRICE
13,75,TITLE
13,78,TITLE
13,71,TITLE
1,7,PRICE
16,99,TITLE
1,6,PRICE
15,94,TITLE
1,7,PRICE
3,15,GPU
15,89,TITLE
13,86,TITLE
1,7,PRICE
14,99,TITLE
22,125,TITLE
1,5,PRICE
4,19,CPU
14,81,TITLE
1,4,PRICE
12,63,TITLE
1,7,PRICE
3,11,CPU
1,6,SCREEN_SIZE
18,100,TITLE
1,7,PRICE
16,89,TITLE
14,83,TITLE
13,72,TITLE
12,63,TITLE
1,5,PRICE
17,100,TITLE
1,7,PRICE
15,83,TITLE
14,91,TITLE
1,6,PRICE
13,74,TITLE
1,7,PRICE
16,100,TITLE
1,7,PRICE
14,81,TITLE
1,6,PRICE
16,85,TITLE
1,5,PRICE
11,63,TITLE
1,6,PRICE
18,100,TITLE
1,7,PRICE
4,20,CPU
18,100,TITLE
12,70,TITLE
17,100,TITLE
1,7,PRICE
14,94,TITLE
1,7,PRICE
16,100,TITLE
13,81,TITLE
15,92,TITLE
1,6,PRICE
14,82,TITLE
1,6,PRICE
15,103,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
13,75,TITLE
1,4,PRICE
14,81,TITLE
1,6,PRICE
21,116,TITLE
1,7,PRICE
14,96,TITLE
1,7,PRICE
15,102,TITLE
11,59,TITLE
2,18,CPU
19,108,TITLE
1,7,PRICE
16,100,TITLE
1,7,PRICE
17,99,TITLE
3,13,CPU
13,79,TITLE
17,99,TITLE
20,109,TITLE
1,7,PRICE
17,97,TITLE
1,7,PRICE
23,139,TITLE
1,7,PRICE
16,95,TITLE
1,7,PRICE
14,93,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
15,82,TITLE
12,71,TITLE
1,6,PRICE
1,6,SCREEN_SIZE
15,90,TITLE
1,6,PRICE
14,94,TITLE
1,7,PRICE
13,72,TITLE
1,7,PRICE
4,22,CPU
3,11,SCREEN_RESOLUTION
18,100,TITLE
1,7,PRICE
14,90,TITLE
16,86,TITLE
1,6,PRICE
18,100,TITLE
1,7,PRICE
1,1,STORAGE_HDD
14,82,TITLE
14,89,TITLE
1,7,PRICE
14,91,TITLE
17,98,TITLE
1,6,PRICE
13,78,TITLE
15,83,TITLE
1,6,PRICE
15,77,TITLE
1,7,PRICE
15,91,TITLE
2,14,GPU
15,97,TITLE
1,6,PRICE
3,11,SCREEN_RESOLUTION
12,64,TITLE
14,80,TITLE
1,4,PRICE
14,73,TITLE
14,90,TITLE
1,7,PRICE
14,87,TITLE
14,89,TITLE
1,7,PRICE
15,91,TITLE
1,7,PRICE
17,97,TITLE
1,6,PRICE
4,18,CPU
1,6,CPU_FREQ
10,64,TITLE
2,8,CPU
14,79,TITLE
18,102,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
14,76,TITLE
1,6,PRICE
15,83,TITLE
1,7,PRICE
15,89,TITLE
14,82,TITLE
14,94,TITLE
1,6,PRICE
3,13,CPU
3,11,SCREEN_RESOLUTION
13,83,TITLE
4,19,CPU
14,80,TITLE
12,69,TITLE
18,104,TITLE
1,7,PRICE
18,98,TITLE
1,7,PRICE
15,88,TITLE
15,91,TITLE
1,7,PRICE
13,76,TITLE
1,6,PRICE
13,80,TITLE
14,83,TITLE
1,6,PRICE
19,108,TITLE
1,7,PRICE
17,88,TITLE
4,15,OS
16,100,TITLE
1,7,PRICE
13,77,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
15,93,TITLE
14,88,TITLE
14,85,TITLE
18,100,TITLE
1,7,PRICE
15,79,TITLE
1,7,PRICE
17,91,TITLE
1,5,PRICE
12,69,TITLE
2,8,CPU
10,50,TITLE
1,7,PRICE
13,75,TITLE
1,6,PRICE
1,8,SCREEN_SIZE
15,88,TITLE
1,7,PRICE
17,101,TITLE
1,7,PRICE
15,87,TITLE
1,7,PRICE
13,80,TITLE
1,6,PRICE
14,91,TITLE
14,96,TITLE
19,112,TITLE
14,75,TITLE
1,7,PRICE
16,90,TITLE
1,7,PRICE
14,83,TITLE
13,76,TITLE
1,6,PRICE
3,19,CPU
14,87,TITLE
18,105,TITLE
13,82,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
16,99,TITLE
1,7,PRICE
15,86,TITLE
1,7,PRICE
13,83,TITLE
1,7,PRICE
19,99,TITLE
18,101,TITLE
1,7,PRICE
15,88,TITLE
12,68,TITLE
16,96,TITLE
1,7,PRICE
16,94,TITLE
18,100,TITLE
17,100,TITLE
1,7,PRICE
14,88,TITLE
16,90,TITLE
1,7,PRICE
3,16,GPU
17,100,TITLE
1,7,PRICE
15,85,TITLE
1,7,PRICE
14,94,TITLE
13,74,TITLE
3,14,CPU
15,94,TITLE
15,86,TITLE
1,4,PRICE
18,100,TITLE
1,7,PRICE
17,89,TITLE
14,70,TITLE
12,66,TITLE
13,77,TITLE
1,6,PRICE
17,108,TITLE
17,100,TITLE
1,7,PRICE
1,8,SCREEN_SIZE
15,85,TITLE
1,7,PRICE
12,59,TITLE
13,78,TITLE
3,21,CPU
13,85,TITLE
13,76,TITLE
18,105,TITLE
16,82,TITLE
1,7,PRICE
15,92,TITLE
1,7,PRICE
16,86,TITLE
1,5,PRICE
2,12,GPU
17,96,TITLE
15,94,TITLE
14,91,TITLE
14,91,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
15,94,TITLE
16,100,TITLE
1,7,PRICE
14,81,TITLE
12,72,TITLE
4,19,CPU
16,100,TITLE
18,99,TITLE
1,7,PRICE
17,93,TITLE
19,100,TITLE
1,7,PRICE
17,109,TITLE
1,4,PRICE
3,15,GPU
3,18,CPU
17,99,TITLE
1,7,PRICE
14,83,TITLE
1,7,PRICE
13,81,TITLE
18,100,TITLE
4,20,CPU
20,111,TITLE
1,7,PRICE
16,81,TITLE
15,95,TITLE
14,88,TITLE
1,6,PRICE
22,134,TITLE
17,96,TITLE
1,7,PRICE
14,81,TITLE
1,6,PRICE
12,69,TITLE
1,6,PRICE
15,79,TITLE
15,93,TITLE
1,4,PRICE
20,111,TITLE
1,6,PRICE
14,76,TITLE
1,5,PRICE
21,115,TITLE
10,65,TITLE
3,11,CPU
12,73,TITLE
1,6,PRICE
19,100,TITLE
1,5,PRICE
14,77,TITLE
1,7,PRICE
15,88,TITLE
18,99,TITLE
13,77,TITLE
3,16,CPU
14,88,TITLE
1,6,PRICE
17,100,TITLE
1,7,PRICE
17,88,TITLE
1,7,PRICE
13,86,TITLE
1,6,PRICE
17,99,TITLE
18,108,TITLE
1,6,PRICE
1,5,STORAGE_HDD
13,70,TITLE
13,86,TITLE
1,6,PRICE
14,88,TITLE
1,6,SCREEN_SIZE
14,89,TITLE
15,86,TITLE
17,100,TITLE
16,100,TITLE
1,7,PRICE
3,16,GPU
17,100,TITLE
12,67,TITLE
15,85,TITLE
1,7,PRICE
21,116,TITLE
1,7,PRICE
6,40,TITLE
15,80,TITLE
13,79,TITLE
3,19,CPU
1,6,CPU_FREQ
13,79,TITLE
15,96,TITLE
1,7,PRICE
4,22,CPU
13,77,TITLE
17,88,TITLE
17,100,TITLE
16,100,TITLE
2,7,CPU
14,76,TITLE
1,7,PRICE
4,21,CPU
13,68,TITLE
1,4,PRICE
16,92,TITLE
1,7,PRICE
12,77,TITLE
14,95,TITLE
14,90,TITLE
13,84,TITLE
1,7,PRICE
14,93,TITLE
1,7,PRICE
14,100,TITLE
1,7,PRICE
14,76,TITLE
1,6,PRICE
20,99,TITLE
1,5,PRICE
15,87,TITLE
1,7,PRICE
15,84,TITLE
18,100,TITLE
16,88,TITLE
1,7,PRICE
11,66,TITLE
16,100,TITLE
17,99,TITLE
1,5,PRICE
14,91,TITLE
1,5,PRICE
16,95,TITLE
1,5,PRICE
16,91,TITLE
1,7,PRICE
14,80,TITLE
14,87,TITLE
1,7,PRICE
16,100,TITLE
4,17,CPU
3,12,SCREEN_RESOLUTION
17,99,TITLE
1,7,PRICE
15,93,TITLE
1,7,PRICE
14,90,TITLE
14,81,TITLE
13,79,TITLE
13,84,TITLE
1,6,PRICE
15,87,TITLE
15,88,TITLE
19,110,TITLE
21,117,TITLE
17,100,TITLE
1,7,PRICE
12,68,TITLE
21,117,TITLE
1,8,PRICE
1,3,CPU_FREQ
16,98,TITLE
4,19,CPU
15,85,TITLE
1,7,PRICE
15,93,TITLE
1,7,PRICE
19,115,TITLE
1,5,PRICE
20,132,TITLE
1,7,PRICE
15,89,TITLE
1,7,PRICE
15,87,TITLE
14,87,TITLE
1,4,PRICE
14,94,TITLE
18,100,TITLE
1,7,PRICE
18,109,TITLE
1,6,PRICE
14,79,TITLE
15,87,TITLE
3,13,CPU
18,100,TITLE
1,7,PRICE
15,91,TITLE
1,7,PRICE
16,100,TITLE
1,7,PRICE
19,103,TITLE
14,78,TITLE
1,6,PRICE
3,13,CPU
14,88,TITLE
1,7,PRICE
3,11,SCREEN_RESOLUTION
15,96,TITLE
4,20,CPU
13,75,TITLE
13,68,TITLE
18,100,TITLE
16,106,TITLE
1,6,PRICE
14,91,TITLE
15,88,TITLE
1,7,PRICE
15,80,TITLE
1,6,PRICE
19,106,TITLE
1,7,PRICE
16,100,TITLE
15,85,TITLE
1,7,PRICE
4,21,CPU
19,112,TITLE
15,92,TITLE
1,4,PRICE
13,83,TITLE
9,58,TITLE
14,93,TITLE
15,99,TITLE
1,7,PRICE
14,89,TITLE
17,100,TITLE
15,93,TITLE
13,85,TITLE
17,100,TITLE
1,7,PRICE
17,109,TITLE
1,4,PRICE
14,80,TITLE
13,83,TITLE
1,5,PRICE
15,86,TITLE
13,86,TITLE
1,7,PRICE
15,93,TITLE
13,75,TITLE
28,168,TITLE
1,7,PRICE
17,100,TITLE
1,7,PRICE
13,83,TITLE
14,80,TITLE
1,7,PRICE
14,83,TITLE
13,63,TITLE
1,6,PRICE
2,9,GPU
12,66,TITLE
13,67,TITLE
1,7,PRICE
