@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
1,4,2,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
4,16,2,SCREEN_RESOLUTION
4,25,17,TITLE
1,7,0,PRICE
2,31,21,WIRELESS_CONNECTIVITY
1,8,4,CPU
2,16,11,CPU_CORES
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
1,7,0,PRICE
1,5,2,STORAGE_SSD
4,24,19,TITLE
1,6,0,PRICE
1,21,17,WIRELESS_CONNECTIVITY
4,38,12,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
1,7,0,PRICE
3,19,16,TITLE
1,5,0,PRICE
1,7,0,PRICE
2,9,2,WEIGHT
5,26,20,TITLE
1,7,0,PRICE
2,36,24,WIRELESS_CONNECTIVITY
1,7,3,BATTERY_CAPACITY
3,20,6,CAMERA_BACK
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
4,27,23,TITLE
2,34,9,NETWORK_4G
1,39,31,NETWORK_TYPE
12,50,12,PRODUCT_SIZE
8,46,28,TITLE
1,7,0,PRICE
1,5,1,CPU
2,16,11,CPU_CORES
4,25,20,TITLE
1,7,0,PRICE
3,49,37,WIRELESS_CONNECTIVITY
2,19,10,NETWORK_4G
2,16,10,BATTERY_CAPACITY
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,24,18,TITLE
1,6,6,BRAND
1,7,0,PRICE
2,16,10,BATTERY_CAPACITY
2,14,12,BATTERY_TYPE
1,7,3,CPU
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
1,7,0,PRICE
4,21,16,TITLE
1,7,0,PRICE
17,119,56,NETWORK_4G
3,11,4,CAMERA_FRONT
8,36,23,CAMERA_BACK
5,26,20,TITLE
1,6,0,PRICE
1,7,3,BATTERY_CAPACITY
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
5,29,24,TITLE
2,11,7,OS
1,7,0,PRICE
2,40,27,WIRELESS_CONNECTIVITY
1,7,3,BATTERY_CAPACITY
1,7,3,CPU
2,16,11,CPU_CORES
2,15,4,CAMERA_BACK
12,49,12,PRODUCT_SIZE
2,8,2,WEIGHT
5,27,21,TITLE
1,7,0,PRICE
3,53,40,WIRELESS_CONNECTIVITY
4,24,14,BATTERY_CAPACITY
2,17,11,CPU_CORES
2,12,3,CAMERA_FRONT
8,47,35,CAMERA_BACK
12,50,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
2,7,3,SCREEN_PPI
3,26,20,SCREEN_TYPE
3,23,16,CAMERA_BACK
4,22,17,TITLE
5,28,22,TITLE
1,7,0,PRICE
4,29,12,BATTERY_CAPACITY
3,23,18,CPU
12,50,12,PRODUCT_SIZE
1,3,0,SCREEN_PPI
4,22,18,TITLE
1,6,6,BRAND
3,44,27,WIRELESS_CONNECTIVITY
3,11,4,BATTERY_CAPACITY
2,17,11,CPU_CORES
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,29,22,TITLE
1,7,0,PRICE
2,42,28,WIRELESS_CONNECTIVITY
7,38,20,BATTERY_CAPACITY
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
1,6,0,PRICE
1,7,0,PRICE
12,50,12,PRODUCT_SIZE
5,26,19,TITLE
1,7,0,PRICE
12,49,12,PRODUCT_SIZE
5,27,20,TITLE
1,6,0,PRICE
1,7,3,BATTERY_CAPACITY
1,8,4,CPU
2,14,4,CAMERA_BACK
12,50,12,PRODUCT_SIZE
1,6,0,PRICE
1,7,0,PRICE
1,5,0,PRICE
4,25,20,TITLE
1,7,0,PRICE
1,7,3,BATTERY_CAPACITY
12,50,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
6,38,29,TITLE
1,10,6,GPU
2,13,6,CPU
2,21,14,CPU_CORES
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
3,36,32,SCREEN_TYPE
7,36,26,TITLE
1,7,0,PRICE
1,29,23,NETWORK_TYPE
3,14,3,CAMERA_FRONT
1,7,0,PRICE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
6,30,23,TITLE
1,7,0,PRICE
2,12,6,NETWORK_2G
2,16,11,CPU_CORES
2,9,2,WEIGHT
5,29,20,TITLE
1,7,0,PRICE
1,7,3,BATTERY_CAPACITY
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,6,0,PRICE
1,7,0,PRICE
7,49,27,NETWORK_3G
1,6,0,PRICE
12,48,12,PRODUCT_SIZE
2,26,12,NETWORK_4G
4,19,13,TITLE
1,6,0,PRICE
3,48,30,WIRELESS_CONNECTIVITY
2,16,10,BATTERY_CAPACITY
8,44,25,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,7,0,PRICE
4,25,21,TITLE
2,20,6,NETWORK_2G
3,24,17,BATTERY_CAPACITY
2,27,18,CPU_CORES
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
4,43,35,SCREEN_TYPE
5,28,19,TITLE
1,23,17,WIRELESS_CONNECTIVITY
1,7,3,BATTERY_CAPACITY
8,41,24,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
4,41,29,SCREEN_TYPE
4,22,16,TITLE
1,15,11,WIRELESS_CONNECTIVITY
3,11,4,BATTERY_CAPACITY
4,24,8,CAMERA_FRONT
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,24,18,TITLE
1,6,0,PRICE
2,16,6,CAMERA_BACK
2,8,2,WEIGHT
12,49,12,PRODUCT_SIZE
1,6,0,PRICE
1,7,0,PRICE
5,30,24,TITLE
1,7,3,BATTERY_CAPACITY
2,9,8,CPU_CORES
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
7,61,45,SCREEN_TYPE
4,24,20,TITLE
1,6,6,BRAND
1,25,20,WIRELESS_CONNECTIVITY
12,50,12,PRODUCT_SIZE
5,28,22,TITLE
2,11,10,DEVICE_TYPE
1,6,0,PRICE
1,9,9,WIRELESS_CONNECTIVITY
1,3,3,NETWORK_TYPE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
1,7,0,PRICE
1,7,0,PRICE
1,7,0,PRICE
1,32,24,WIRELESS_CONNECTIVITY
4,20,15,TITLE
1,7,0,PRICE
31,226,105,NETWORK_4G
1,39,31,NETWORK_TYPE
5,27,15,BATTERY_CAPACITY
2,15,4,CAMERA_BACK
12,50,12,PRODUCT_SIZE
1,6,3,SCREEN_PPI
5,30,24,TITLE
1,7,0,PRICE
2,16,10,BATTERY_CAPACITY
12,49,12,PRODUCT_SIZE
5,24,18,TITLE
1,6,0,PRICE
3,11,4,BATTERY_CAPACITY
7,38,23,CAMERA_BACK
12,50,12,PRODUCT_SIZE
4,22,16,TITLE
2,8,2,WEIGHT
12,50,12,PRODUCT_SIZE
6,27,20,TITLE
1,7,0,PRICE
19,106,24,NETWORK_4G
2,20,10,NETWORK_3G
4,33,12,BATTERY_CAPACITY
6,30,21,CAMERA_BACK
2,9,2,WEIGHT
4,20,15,TITLE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,41,32,SCREEN_TYPE
1,6,0,PRICE
1,7,0,PRICE
4,20,15,TITLE
1,5,0,PRICE
2,13,4,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,29,19,TITLE
3,25,18,BATTERY_CAPACITY
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
4,23,17,TITLE
1,7,0,PRICE
12,49,12,PRODUCT_SIZE
1,7,0,PRICE
6,29,23,TITLE
2,41,28,WIRELESS_CONNECTIVITY
2,20,10,NETWORK_4G
1,7,3,BATTERY_CAPACITY
1,6,3,CPU_CORES
7,32,23,EXTERNAL_MEMORY
5,25,21,CAMERA_BACK
12,50,12,PRODUCT_SIZE
1,7,0,PRICE
5,24,19,TITLE
1,7,0,PRICE
2,44,30,WIRELESS_CONNECTIVITY
2,16,10,BATTERY_CAPACITY
2,9,6,CPU
7,35,25,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
2,9,2,WEIGHT
1,6,0,PRICE
1,7,0,PRICE
1,7,0,PRICE
6,36,26,TITLE
2,36,15,NETWORK_4G
4,24,20,TITLE
2,16,10,BATTERY_CAPACITY
2,9,6,CPU
2,16,11,CPU_CORES
6,30,21,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,9,1,SCREEN_RESOLUTION
1,7,0,PRICE
5,27,20,TITLE
2,11,7,OS
1,6,0,PRICE
1,7,3,BATTERY_CAPACITY
1,5,2,RAM_CAPACITY
2,13,10,CPU
3,13,8,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,8,1,SCREEN_RESOLUTION
8,30,21,TITLE
2,22,19,DEVICE_TYPE
2,10,7,OS
1,4,4,BRAND
1,7,0,PRICE
4,36,24,WIFI
4,34,19,BATTERY_CAPACITY
1,3,2,RAM_CAPACITY
4,21,15,GPU
5,28,19,CPU
2,17,11,CPU_CORES
1,5,2,CAMERA_FRONT
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
2,25,18,SCREEN_TYPE
4,20,13,TITLE
6,44,37,SIM_CARD_SLOT
1,4,4,BRAND
1,7,0,PRICE
2,24,9,NETWORK_4G
5,38,23,BATTERY_CAPACITY
1,3,2,RAM_CAPACITY
1,7,3,CPU
2,17,11,CPU_CORES
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
2,20,15,SCREEN_TYPE
4,19,6,SCREEN_RESOLUTION
7,38,26,TITLE
1,6,6,BRAND
1,6,0,PRICE
7,45,21,NETWORK_4G
1,7,3,CPU
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
7,42,34,TITLE
1,9,9,DEVICE_TYPE
4,24,14,OS
1,7,3,BATTERY_CAPACITY
3,16,14,GPU
3,19,11,CPU
2,17,11,CPU_CORES
2,9,2,WEIGHT
12,52,12,PRODUCT_SIZE
4,18,13,TITLE
2,9,8,DEVICE_TYPE
1,4,4,BRAND
1,6,0,PRICE
5,38,25,BATTERY_CAPACITY
1,3,2,RAM_CAPACITY
1,3,1,CPU
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,6,4,SCREEN_SIZE
2,24,18,SCREEN_TYPE
5,27,17,TITLE
1,7,0,PRICE
3,23,15,BATTERY_CAPACITY
1,7,3,CPU
