@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
7,47,29,TITLE
7,42,25,TITLE
9,54,34,TITLE
10,62,48,TITLE
8,50,31,TITLE
9,55,35,TITLE
7,47,29,TITLE
1,5,0,PRICE
9,54,34,TITLE
6,37,27,TITLE
2,10,9,OS
1,5,0,PRICE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
7,31,20,TITLE
1,5,0,PRICE
5,33,24,BATTERY_CAPACITY
4,31,21,CPU
4,27,18,CPU_CORES
6,34,20,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
8,41,22,SCREEN_RESOLUTION
6,29,19,TITLE
1,4,0,PRICE
5,33,24,BATTERY_CAPACITY
2,15,10,CPU
3,11,3,CAMERA_FRONT
6,33,20,CAMERA_BACK
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
9,41,28,TITLE
2,10,4,BLUETOOTH_VERSION
1,5,0,PRICE
7,47,28,WIFI
2,15,10,CPU
3,10,3,CAMERA_FRONT
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
5,21,15,TITLE
4,23,15,BATTERY_CAPACITY
3,17,11,CPU_CORES
8,35,17,CAMERA_BACK
1,3,2,WEIGHT
12,44,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,36,24,TITLE
7,34,24,TITLE
8,40,26,TITLE
10,55,40,TITLE
8,46,33,TITLE
7,35,24,TITLE
4,27,18,OS
1,5,0,PRICE
9,69,7,NETWORK_4G
8,60,37,WIFI
2,13,8,GPU
4,25,16,CPU
5,21,13,EXTERNAL_MEMORY
5,35,20,CAMERA_FRONT
10,58,34,CAMERA_BACK
4,17,3,WEIGHT
12,41,8,PRODUCT_SIZE
8,39,26,TITLE
8,40,26,TITLE
9,43,29,TITLE
8,41,27,TITLE
1,5,0,PRICE
7,35,24,TITLE
3,17,8,BLUETOOTH_VERSION
9,68,46,OS
1,5,0,PRICE
12,100,7,NETWORK_4G
5,37,27,BATTERY_CAPACITY
2,10,6,GPU
4,31,21,CPU
8,57,36,CPU_CORES
4,18,6,CAMERA_FRONT
11,63,40,CAMERA_BACK
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,40,26,TITLE
3,13,5,BLUETOOTH_VERSION
1,5,0,PRICE
8,54,8,NETWORK_3G
5,37,27,BATTERY_CAPACITY
18,109,74,CAMERA_BACK
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
8,43,30,TITLE
4,19,9,BLUETOOTH_VERSION
1,5,0,PRICE
7,56,7,NETWORK_4G
5,35,8,NETWORK_3G
5,36,26,BATTERY_CAPACITY
2,13,7,GPU
8,55,30,CPU_CORES
6,27,12,CAMERA_FRONT
10,62,41,CAMERA_BACK
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
5,39,32,SCREEN_TYPE
8,43,22,SCREEN_RESOLUTION
8,43,31,TITLE
1,5,0,PRICE
8,61,7,NETWORK_4G
5,36,26,BATTERY_CAPACITY
4,31,21,CPU
3,11,3,CAMERA_FRONT
11,72,49,CAMERA_BACK
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,30,TITLE
1,5,0,PRICE
8,42,29,TITLE
8,44,29,TITLE
1,5,0,PRICE
8,45,30,TITLE
1,5,0,PRICE
9,45,31,TITLE
11,92,8,NETWORK_4G
3,19,14,CPU
8,59,36,CPU_CORES
4,18,4,CAMERA_FRONT
15,93,63,CAMERA_BACK
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
9,51,39,TITLE
4,18,8,BLUETOOTH_VERSION
1,6,0,PRICE
4,18,4,CAMERA_FRONT
20,121,78,CAMERA_BACK
4,15,3,WEIGHT
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
8,40,27,TITLE
1,5,0,PRICE
19,115,76,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
8,43,28,TITLE
8,42,29,TITLE
8,42,29,TITLE
1,5,0,PRICE
4,23,5,NETWORK_3G
8,42,29,TITLE
7,39,25,TITLE
8,42,29,TITLE
7,35,22,TITLE
8,61,40,OS
1,5,0,PRICE
10,79,7,NETWORK_4G
7,52,31,WIFI
5,37,27,BATTERY_CAPACITY
7,44,24,CPU_CORES
4,17,3,CAMERA_FRONT
9,55,37,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,47,39,SCREEN_TYPE
7,36,22,TITLE
5,22,11,BLUETOOTH_VERSION
1,5,0,PRICE
24,220,7,NETWORK_4G
5,36,26,BATTERY_CAPACITY
3,8,5,RAM_CAPACITY
7,35,12,CAMERA_FRONT
19,118,68,CAMERA_BACK
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
5,20,12,TITLE
3,17,8,BLUETOOTH_VERSION
1,5,0,PRICE
12,98,7,NETWORK_4G
7,39,17,CAMERA_FRONT
11,68,42,CAMERA_BACK
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,45,36,SCREEN_TYPE
8,43,22,SCREEN_RESOLUTION
6,29,22,TITLE
4,25,16,OS
1,5,0,PRICE
19,166,7,NETWORK_4G
5,37,27,BATTERY_CAPACITY
4,18,3,CAMERA_FRONT
13,89,58,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,31,24,TITLE
6,27,16,TITLE
1,5,0,PRICE
26,159,34,NETWORK_4G
7,30,22,TITLE
1,5,0,PRICE
5,37,27,BATTERY_CAPACITY
2,5,3,RAM_CAPACITY
7,55,30,CPU_CORES
5,21,5,CAMERA_FRONT
12,78,51,CAMERA_BACK
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,30,23,TITLE
1,5,0,PRICE
6,31,23,TITLE
1,5,0,PRICE
6,25,14,TITLE
1,5,0,PRICE
6,32,23,TITLE
1,5,0,PRICE
7,35,26,TITLE
1,5,0,PRICE
6,32,24,TITLE
1,5,0,PRICE
7,35,25,TITLE
1,5,0,PRICE
6,31,22,TITLE
9,54,39,TITLE
4,20,10,BLUETOOTH_VERSION
3,16,10,OS
1,5,0,PRICE
12,100,7,NETWORK_4G
5,37,27,BATTERY_CAPACITY
2,13,7,GPU
3,16,10,CPU
5,33,16,CPU_CORES
10,62,36,CAMERA_FRONT
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
8,50,36,TITLE
4,19,9,BLUETOOTH_VERSION
1,5,0,PRICE
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
8,46,31,TITLE
42,254,49,NETWORK_4G
5,37,27,BATTERY_CAPACITY
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,47,33,TITLE
1,5,0,PRICE
22,195,7,NETWORK_4G
8,46,32,TITLE
1,5,0,PRICE
9,56,41,TITLE
1,5,0,PRICE
9,55,40,TITLE
1,5,0,PRICE
9,53,38,TITLE
8,47,33,TITLE
1,5,0,PRICE
8,47,33,TITLE
1,5,0,PRICE
8,49,34,TITLE
1,5,0,PRICE
8,49,35,TITLE
10,58,42,TITLE
1,5,0,PRICE
10,61,45,TITLE
1,5,0,PRICE
9,52,37,TITLE
9,55,39,TITLE
1,5,0,PRICE
9,48,34,TITLE
4,19,9,BLUETOOTH_VERSION
3,20,13,OS
22,195,7,NETWORK_4G
5,37,27,BATTERY_CAPACITY
8,45,15,CAMERA_FRONT
14,89,61,CAMERA_BACK
4,15,3,WEIGHT
12,41,8,PRODUCT_SIZE
5,41,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
8,41,28,TITLE
9,66,44,OS
1,5,0,PRICE
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,40,27,TITLE
9,47,32,TITLE
4,19,9,BLUETOOTH_VERSION
1,5,0,PRICE
5,21,13,EXTERNAL_MEMORY
12,75,36,CAMERA_FRONT
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
9,45,31,TITLE
1,5,0,PRICE
3,12,2,CAMERA_FRONT
7,45,33,CAMERA_BACK
4,15,3,WEIGHT
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
9,49,35,TITLE
1,5,0,PRICE
8,39,26,TITLE
7,35,24,TITLE
1,5,0,PRICE
16,140,7,NETWORK_4G
9,46,31,TITLE
7,35,24,TITLE
1,5,0,PRICE
9,46,32,TITLE
8,42,30,TITLE
1,5,0,PRICE
5,37,27,BATTERY_CAPACITY
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
6,33,23,TITLE
1,5,0,PRICE
15,129,7,NETWORK_4G
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
8,43,31,TITLE
8,39,26,TITLE
1,5,0,PRICE
7,34,23,TITLE
1,5,0,PRICE
4,24,14,TITLE
8,43,27,TITLE
9,47,33,TITLE
7,36,29,TITLE
7,36,29,TITLE
1,5,0,PRICE
6,34,22,TITLE
11,56,39,TITLE
5,29,20,TITLE
2,8,3,BLUETOOTH_VERSION
1,5,0,PRICE
11,89,7,NETWORK_4G
5,33,24,BATTERY_CAPACITY
4,28,18,CPU_CORES
4,17,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,34,27,TITLE
1,5,0,PRICE
7,35,18,CAMERA_BACK
4,15,3,WEIGHT
12,46,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,34,27,TITLE
5,37,27,BATTERY_CAPACITY
2,10,6,GPU
4,31,21,CPU
7,55,30,CPU_CORES
11,81,60,CAMERA_BACK
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,44,35,SCREEN_TYPE
6,34,27,TITLE
1,4,1,BLUETOOTH_VERSION
1,5,0,PRICE
4,23,15,BATTERY_CAPACITY
2,7,3,CPU_CORES
7,35,18,CAMERA_BACK
2,5,1,WEIGHT
12,40,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
4,25,20,TITLE
1,4,0,PRICE
4,23,15,BATTERY_CAPACITY
2,15,10,CPU
5,19,13,EXTERNAL_MEMORY
8,41,22,SCREEN_RESOLUTION
6,34,27,TITLE
1,5,0,PRICE
7,35,18,CAMERA_BACK
2,5,1,WEIGHT
6,22,4,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
3,16,10,TITLE
4,25,16,OS
7,55,7,NETWORK_4G
5,37,27,BATTERY_CAPACITY
5,27,19,CAMERA_BACK
2,5,1,WEIGHT
6,19,4,PRODUCT_SIZE
2,10,6,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
4,28,23,TITLE
4,19,9,BLUETOOTH_VERSION
3,20,12,OS
1,5,0,PRICE
16,76,8,NETWORK_4G
5,40,23,WIFI
5,37,27,BATTERY_CAPACITY
2,10,6,GPU
3,27,21,CPU
4,23,16,CPU_CORES
9,46,26,CAMERA_BACK
4,15,3,WEIGHT
12,44,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
3,25,23,TITLE
3,18,12,OS
1,5,0,PRICE
12,56,8,NETWORK_4G
4,33,23,CPU
5,28,16,CPU_CORES
3,10,3,CAMERA_FRONT
12,76,51,CAMERA_BACK
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
4,28,23,TITLE
3,25,23,TITLE
1,5,0,PRICE
3,20,18,TITLE
3,20,12,OS
1,5,0,PRICE
5,37,27,BATTERY_CAPACITY
5,35,26,CPU
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,37,24,TITLE
1,3,0,BLUETOOTH_VERSION
3,22,15,OS
9,69,7,NETWORK_4G
1,8,4,CPU
3,17,11,CPU_CORES
2,5,1,WEIGHT
6,17,4,PRODUCT_SIZE
2,10,6,SCREEN_SIZE
6,41,33,SCREEN_TYPE
4,17,7,SCREEN_RESOLUTION
6,28,20,TITLE
4,30,22,BATTERY_CAPACITY
8,50,32,CAMERA_BACK
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,29,21,TITLE
3,22,15,TITLE
2,9,4,BLUETOOTH_VERSION
1,4,0,PRICE
5,33,24,BATTERY_CAPACITY
2,4,1,WEIGHT
6,20,4,PRODUCT_SIZE
2,10,6,SCREEN_SIZE
3,15,9,SCREEN_TYPE
3,23,16,TITLE
1,4,0,PRICE
6,36,26,TITLE
1,4,1,BLUETOOTH_VERSION
1,4,0,PRICE
5,32,24,BATTERY_CAPACITY
3,9,5,RAM_CAPACITY
2,7,2,CAMERA_BACK
4,14,3,WEIGHT
12,41,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
3,16,10,SCREEN_TYPE
8,39,24,TITLE
1,4,0,PRICE
5,33,24,BATTERY_CAPACITY
3,17,11,CPU_CORES
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
8,38,23,TITLE
11,56,37,TITLE
3,22,15,OS
5,33,24,BATTERY_CAPACITY
2,5,1,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
11,56,37,TITLE
5,23,19,TITLE
5,22,15,TITLE
1,5,0,PRICE
5,23,19,TITLE
6,32,23,TITLE
2,9,4,BLUETOOTH_VERSION
3,8,2,USB_VERSION
6,25,20,OS
1,6,0,PRICE
3,20,8,WIFI
5,36,26,BATTERY_CAPACITY
4,23,17,GPU
3,13,10,CPU
12,62,40,CPU_CORES
2,5,1,WEIGHT
6,24,4,PRODUCT_SIZE
2,9,6,SCREEN_SIZE
4,30,26,SCREEN_TYPE
4,18,7,SCREEN_RESOLUTION
2,10,8,COLOR
6,32,22,TITLE
1,6,0,PRICE
8,45,27,TITLE
6,28,17,USB_VERSION
4,19,16,OS
1,5,0,PRICE
3,23,10,WIFI
5,34,26,BATTERY_CAPACITY
4,22,15,GPU
3,13,10,CPU
14,70,46,CPU_CORES
3,14,12,EXTERNAL_MEMORY
2,6,1,WEIGHT
6,20,4,PRODUCT_SIZE
2,11,6,SCREEN_SIZE
2,18,16,SCREEN_TYPE
4,17,7,SCREEN_RESOLUTION
8,43,32,TITLE
2,9,4,BLUETOOTH_VERSION
8,39,20,USB_VERSION
1,6,0,PRICE
4,23,17,GPU
13,63,40,CPU_CORES
5,39,34,SCREEN_TYPE
1,4,4,COLOR
7,37,27,TITLE
1,6,0,PRICE
3,13,10,CPU
12,62,40,CPU_CORES
2,6,2,STORAGE_SSD
6,34,25,TITLE
1,6,0,PRICE
6,34,23,TITLE
5,23,19,OS
1,6,0,PRICE
5,36,26,BATTERY_CAPACITY
4,24,17,GPU
3,12,10,CPU
6,17,4,PRODUCT_SIZE
2,15,13,SCREEN_TYPE
7,36,25,TITLE
5,24,20,OS
1,6,0,PRICE
5,36,26,BATTERY_CAPACITY
4,23,17,GPU
6,31,24,CPU
16,77,50,CPU_CORES
2,6,1,WEIGHT
6,20,4,PRODUCT_SIZE
2,15,13,SCREEN_TYPE
4,18,7,SCREEN_RESOLUTION
6,32,22,TITLE
1,6,0,PRICE
8,45,27,TITLE
1,6,0,PRICE
6,34,23,TITLE
1,6,0,PRICE
2,17,11,CPU
10,43,28,CPU_CORES
7,38,28,TITLE
1,6,0,PRICE
5,36,26,BATTERY_CAPACITY
3,9,5,RAM_CAPACITY
17,99,71,GPU
3,13,10,CPU
13,69,46,CPU_CORES
2,6,1,WEIGHT
6,20,4,PRODUCT_SIZE
2,11,6,SCREEN_SIZE
5,25,21,SCREEN_TYPE
4,18,7,SCREEN_RESOLUTION
10,51,37,TITLE
8,39,20,USB_VERSION
1,6,0,PRICE
7,32,21,GPU
6,31,24,CPU
13,63,40,CPU_CORES
2,6,1,WEIGHT
6,23,4,PRODUCT_SIZE
13,71,43,TITLE
1,6,0,PRICE
2,11,9,RAM_TYPE
3,19,13,CPU
1,6,3,CPU_FREQ
17,79,54,TITLE
3,10,8,DEVICE_TYPE
5,23,14,OS
1,5,0,PRICE
2,10,8,RAM_TYPE
3,14,9,GPU
1,6,3,CPU_FREQ
15,96,62,TITLE
1,3,3,DEVICE_TYPE
1,5,0,PRICE
3,16,10,GPU
4,19,11,CPU
1,6,3,CPU_FREQ
1,3,2,STORAGE_HDD
16,94,58,TITLE
3,14,10,OS
1,7,0,PRICE
4,19,11,CPU
1,6,3,CPU_FREQ
15,99,64,TITLE
1,5,5,DEVICE_TYPE
1,5,0,PRICE
4,18,10,CPU
15,100,66,TITLE
1,7,0,PRICE
2,12,7,GPU
4,20,11,CPU
1,6,3,CPU_FREQ
15,90,58,TITLE
1,5,0,PRICE
3,16,10,GPU
1,6,3,CPU_FREQ
13,87,60,TITLE
3,13,10,OS
1,7,0,PRICE
4,20,11,CPU
1,6,3,CPU_FREQ
14,100,70,TITLE
1,7,0,PRICE
4,20,11,CPU
1,6,3,CPU_FREQ
17,97,60,TITLE
1,7,0,PRICE
4,21,11,CPU
11,62,39,TITLE
3,17,12,OS
1,6,0,PRICE
1,7,4,CPU
20,94,58,TITLE
1,5,0,PRICE
2,12,10,RAM_TYPE
1,6,3,CPU_FREQ
14,98,67,TITLE
2,10,9,DEVICE_TYPE
1,6,0,PRICE
4,18,10,CPU
1,4,3,CPU_FREQ
17,98,60,TITLE
1,6,0,PRICE
4,21,11,CPU
1,6,3,CPU_FREQ
10,58,40,TITLE
1,6,0,PRICE
17,88,54,TITLE
1,7,0,PRICE
13,61,38,TITLE
4,19,11,CPU
1,6,3,CPU_FREQ
15,99,59,TITLE
4,23,18,DEVICE_TYPE
1,7,0,PRICE
3,15,10,GPU
14,99,64,TITLE
1,7,0,PRICE
4,23,12,CPU
16,105,71,TITLE
1,7,0,PRICE
4,21,11,CPU
16,94,60,TITLE
1,4,0,PRICE
3,19,13,CPU
1,4,3,CPU_FREQ
17,101,66,TITLE
1,5,0,PRICE
4,16,8,CPU
17,100,58,TITLE
1,7,0,PRICE
3,17,12,GPU
14,75,53,TITLE
5,30,24,DEVICE_TYPE
2,10,9,OS
1,6,0,PRICE
2,8,4,CPU
1,6,3,CPU_FREQ
12,62,42,TITLE
2,11,10,DEVICE_TYPE
1,6,0,PRICE
2,8,4,CPU
15,86,51,TITLE
1,7,0,PRICE
1,6,3,GPU
4,22,12,CPU
1,6,3,CPU_FREQ
14,87,59,TITLE
1,4,0,PRICE
3,16,10,GPU
4,18,10,CPU
1,6,3,CPU_FREQ
18,111,74,TITLE
1,7,0,PRICE
17,103,62,TITLE
1,7,0,PRICE
4,19,11,CPU
12,76,49,TITLE
2,16,15,DEVICE_TYPE
17,100,59,TITLE
1,7,0,PRICE
3,15,10,GPU
16,99,73,TITLE
4,27,23,OS
1,6,0,PRICE
1,2,0,STORAGE_SSD
17,99,57,TITLE
1,7,0,PRICE
16,97,71,TITLE
5,37,32,OS
17,79,51,TITLE
1,4,0,PRICE
16,92,56,TITLE
1,7,0,PRICE
17,79,54,TITLE
1,5,0,PRICE
3,14,9,GPU
1,4,3,CPU_FREQ
10,63,42,TITLE
1,5,4,DEVICE_TYPE
1,6,0,PRICE
4,21,11,CPU
17,99,56,TITLE
1,7,0,PRICE
3,13,8,GPU
13,93,65,TITLE
1,7,0,PRICE
4,18,10,CPU
16,91,62,TITLE
1,4,0,PRICE
3,16,10,GPU
4,16,8,CPU
14,72,46,TITLE
1,6,0,PRICE
11,65,43,TITLE
3,15,11,OS
1,6,0,PRICE
3,19,13,CPU
15,83,51,TITLE
1,5,0,PRICE
12,84,59,TITLE
1,6,0,PRICE
4,21,11,CPU
17,104,67,TITLE
1,7,0,PRICE
1,5,2,STORAGE_SSD
18,85,56,TITLE
1,5,0,PRICE
16,92,56,TITLE
1,7,0,PRICE
15,90,65,TITLE
1,7,0,PRICE
2,8,4,CPU
13,69,44,TITLE
2,5,4,OS
1,6,0,PRICE
2,10,8,RAM_TYPE
2,9,4,CPU
1,5,2,STORAGE_HDD
15,87,54,TITLE
1,7,0,PRICE
4,19,11,CPU
1,6,3,CPU_FREQ
14,88,59,TITLE
1,5,0,PRICE
3,20,11,CPU
1,6,3,CPU_FREQ
36,196,108,TITLE
6,47,38,OS
1,7,0,PRICE
3,20,11,CPU
18,100,68,TITLE
1,7,0,PRICE
1,4,2,RAM_CAPACITY
4,16,11,CPU
11,66,43,TITLE
1,6,0,PRICE
20,93,63,TITLE
1,7,0,PRICE
16,112,72,TITLE
1,7,0,PRICE
2,12,7,GPU
4,20,11,CPU
17,101,67,TITLE
1,4,0,PRICE
4,17,9,CPU
15,88,62,TITLE
3,14,10,OS
1,7,0,PRICE
1,2,0,STORAGE_SSD
16,94,59,TITLE
1,6,0,PRICE
16,92,57,TITLE
1,7,0,PRICE
4,22,12,CPU
13,86,53,TITLE
1,11,11,DEVICE_TYPE
1,7,0,PRICE
3,11,4,CPU
16,90,50,TITLE
1,7,0,PRICE
4,21,11,CPU
18,102,63,TITLE
1,4,0,PRICE
4,18,10,CPU
1,6,3,CPU_FREQ
18,97,59,TITLE
1,7,0,PRICE
3,16,11,GPU
4,22,12,CPU
1,6,3,CPU_FREQ
9,48,31,TITLE
4,18,15,OS
1,4,0,PRICE
12,80,54,TITLE
1,7,0,PRICE
18,102,63,TITLE
1,4,0,PRICE
18,100,60,TITLE
1,7,0,PRICE
1,6,3,CPU_FREQ
11,66,43,TITLE
1,6,0,PRICE
3,19,13,CPU
1,6,3,CPU_FREQ
11,75,48,TITLE
1,4,0,PRICE
4,21,11,CPU
16,94,52,TITLE
1,7,0,PRICE
13,67,46,TITLE
1,6,0,PRICE
4,19,15,CPU
15,73,51,TITLE
1,4,0,PRICE
11,65,40,TITLE
1,6,0,PRICE
17,109,67,TITLE
1,7,0,PRICE
10,58,38,TITLE
1,6,0,PRICE
17,102,65,TITLE
1,4,0,PRICE
3,19,13,CPU
18,97,61,TITLE
1,7,0,PRICE
16,101,66,TITLE
1,7,0,PRICE
1,5,2,STORAGE_SSD
16,94,58,TITLE
1,4,0,PRICE
4,19,11,CPU
16,99,62,TITLE
1,7,0,PRICE
10,62,42,TITLE
1,6,0,PRICE
14,84,56,TITLE
4,18,10,CPU
11,65,40,TITLE
1,6,0,PRICE
4,21,11,CPU
13,77,54,TITLE
2,9,7,OS
1,7,0,PRICE
2,8,4,CPU
1,7,3,CPU_FREQ
12,69,42,TITLE
1,3,3,DEVICE_TYPE
1,7,0,PRICE
3,15,10,GPU
4,22,12,CPU
11,71,46,TITLE
1,6,0,PRICE
13,81,50,TITLE
1,6,0,PRICE
3,14,9,GPU
16,93,52,TITLE
1,7,0,PRICE
11,75,48,TITLE
1,7,0,PRICE
15,100,66,TITLE
1,7,0,PRICE
1,5,5,CPU
17,81,54,TITLE
1,5,0,PRICE
3,14,9,GPU
16,100,66,TITLE
1,7,0,PRICE
10,66,50,TITLE
1,7,0,PRICE
16,89,54,TITLE
1,4,0,PRICE
17,112,76,TITLE
1,7,0,PRICE
3,18,12,GPU
16,93,57,TITLE
1,6,0,PRICE
1,3,2,STORAGE_SSD
11,65,40,TITLE
12,70,46,TITLE
1,6,0,PRICE
16,91,62,TITLE
1,4,0,PRICE
3,12,5,CPU
15,97,63,TITLE
1,5,0,PRICE
13,87,58,TITLE
1,7,0,PRICE
4,20,11,CPU
1,6,3,CPU_FREQ
8,45,29,TITLE
1,6,0,PRICE
1,8,4,CPU
10,62,42,TITLE
1,4,0,PRICE
14,79,48,TITLE
1,7,0,PRICE
4,20,12,CPU
12,67,40,TITLE
4,19,11,CPU
1,6,3,CPU_FREQ
17,107,73,TITLE
1,7,0,PRICE
3,16,11,GPU
4,19,11,CPU
14,80,49,TITLE
1,6,0,PRICE
4,19,11,CPU
16,100,62,TITLE
1,7,0,PRICE
4,19,11,CPU
16,91,56,TITLE
1,7,0,PRICE
3,18,11,CPU
16,100,60,TITLE
2,12,8,GPU
15,86,54,TITLE
4,19,11,CPU
1,6,3,CPU_FREQ
19,100,54,TITLE
1,7,0,PRICE
4,23,13,CPU
1,3,0,CPU_FREQ
1,3,0,STORAGE_SSD
14,90,58,TITLE
1,6,0,PRICE
2,11,6,CPU
14,94,59,TITLE
1,7,0,PRICE
15,89,62,TITLE
1,6,0,PRICE
3,19,13,CPU
17,99,56,TITLE
1,7,0,PRICE
15,89,59,TITLE
1,7,0,PRICE
4,18,11,CPU
1,6,3,CPU_FREQ
11,64,41,TITLE
2,9,8,OS
1,6,0,PRICE
3,19,13,CPU
19,108,67,TITLE
1,7,0,PRICE
15,87,54,TITLE
1,7,0,PRICE
4,19,11,CPU
15,86,54,TITLE
1,7,0,PRICE
4,19,11,CPU
16,100,63,TITLE
16,85,54,TITLE
1,7,0,PRICE
13,87,55,TITLE
1,7,0,PRICE
15,100,70,TITLE
1,7,0,PRICE
13,72,49,TITLE
4,17,9,OS
1,5,0,PRICE
14,82,47,TITLE
14,86,54,TITLE
1,6,0,PRICE
12,68,44,TITLE
3,19,13,CPU
13,74,38,TITLE
1,7,0,PRICE
13,81,58,TITLE
1,7,0,PRICE
13,82,50,TITLE
1,6,0,PRICE
4,18,10,CPU
14,90,58,TITLE
1,7,0,PRICE
18,100,59,TITLE
1,7,0,PRICE
4,23,13,CPU
15,92,57,TITLE
1,6,0,PRICE
4,19,11,CPU
13,75,44,TITLE
1,7,0,PRICE
4,18,10,CPU
18,107,62,TITLE
1,5,0,PRICE
4,20,12,CPU
19,111,65,TITLE
1,7,0,PRICE
3,16,11,GPU
4,20,12,CPU
1,5,2,STORAGE_SSD
16,100,67,TITLE
1,7,0,PRICE
4,18,11,CPU
12,67,38,TITLE
1,6,0,PRICE
4,18,10,CPU
13,84,52,TITLE
3,19,13,CPU
15,92,56,TITLE
1,7,0,PRICE
13,85,51,TITLE
3,19,13,CPU
15,86,54,TITLE
16,94,57,TITLE
1,7,0,PRICE
12,73,43,TITLE
14,77,49,TITLE
1,4,0,PRICE
2,10,9,CPU
13,77,49,TITLE
1,7,0,PRICE
16,99,65,TITLE
1,7,0,PRICE
14,77,48,TITLE
1,7,0,PRICE
14,89,57,TITLE
1,7,0,PRICE
13,75,46,TITLE
4,19,11,CPU
15,85,54,TITLE
1,7,0,PRICE
12,61,30,TITLE
1,6,0,PRICE
13,78,50,TITLE
1,5,0,PRICE
13,75,44,TITLE
1,6,0,PRICE
17,100,56,TITLE
1,5,0,PRICE
12,68,36,TITLE
