GB	root.title	root.price	General.Type	General.RAM	General.GPU	General.Brand	General.Model	General.Processor	General.CPU	General.Core	General.Color	General.RAMType	General.ROM	DimensionandWeight.Productweight	DimensionandWeight.Productsize(LxWxH)	ProductDetails.Interface	ProductDetails.HDMIVersion	ProductDetails.Bluetooth	ProductDetails.RJ45PortSpeed	FirmwareInformation.WiFiChip	FirmwareInformation.SystemBit	General.MaximumExternalHardDrivesCapacity	General.System	ProductDetails.WIFI
http://www.gearbest.com/tv-box-mini-pc/pp_275096.html	minix neo u1 smart tv android box	$146.95	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.278 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	500gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_649084.html	m96x smart tv box	$46.14	tv box 	2g ram 	mali-450 		m96x 	s905x 	arm cortex-a53 	quad core 		ddr3 	8g rom 	0.2800 kg 	9.60 x 9.60 x 2.00 cm / 3.78 x 3.78 x 0.79 inches 	dc power port,hdmi,optical,tf card,usb2.0,usb3.0 	2		10 / 100m 	ap6335 	64bit 	32gb 	android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_273232.html	minix neo u1 tv box android 5.1.1	$108.55	tv box 	2g ram 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g rom 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	128gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_650019.html	m96x vbox colorful smart tv box	$45.99	tv box 	2g ram 	mali-450 		m96x vbox 	s905x 	arm cortex-a53 	2.0ghz,quad core 		ddr3 	16g rom 	0.3000 kg 	11.80 x 11.80 x 2.30 cm / 4.65 x 4.65 x 0.91 inches 		2	bluetooth4.0 	10 / 100m 	ap6335 	64bit 	32gb 	android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_562949.html	morefine m1s mini pc stick	$181.14	mini pc 	4g ram 	intel hd graphic 	morefine 	m1s 	intel atom x5-z8350 	intel atom x5-z8350 	quad core 	black 	ddr3 	64g rom 	0.0650 kg 	12.40 x 3.70 x 1.20 cm / 4.88 x 1.46 x 0.47 inches 	hdmi,micro sd card slot,usb2.0,usb3.0 	2	bluetooth4.0 	no 	intel 3165 	64bit 	128gb 	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_428934.html	mecool bb2 tv box amlogic s912 octa core	$74.95	tv box 	2g ram 	arm mali-t820mp3 	mecool 	bb2 	amlogic s912 	arm cortex-a53 	2.0ghz 	gun color 	lpddr3 	16g rom 	0.2300 kg 	10.90 x 10.90 x 2.10 cm / 4.29 x 4.29 x 0.83 inches 	av,cvbs/l/r,dc power port,hdmi,optical,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 			64bit 	32gb 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_540111.html	coowell v2 wireless android box	$54.02	tv box 	2g 	mali-450 	coowell 	v2 		amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	16g 	0.350 kg 	12.40 x 12.40 x 2.20 cm / 4.88 x 4.88 x 0.87 inches 	av,dc 5v,hdmi,rj45,sd card slot,spdif,usb2.0 	2	bluetooth4.0 			64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_606551.html	voyo v1 vmac mini pc	$149.99	mini pc 	4g ram 	intel hd graphic 	voyo 	v1 vmac 	apollo lake n3450 	apollo lake n3450 	quad core 		ddr3l 	64g rom 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 		windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_288824.html	beelink bt3 intel mini pc nuc	$115.87	tv box 	2g 	intel hd graphic(gen7) 	beelink 	intel bt3 		intel atom cherry trail x5-z8300 	quad core 	black 			0.450 kg 	12.00 x 12.00 x 2.40 cm / 4.72 x 4.72 x 0.94 inches 	dc power port,hdmi,microphone jack,rj45,sd card slot,usb2.0,usb3.0 		bluetooth4.0 			32bit 	128gb 	windows 10 	802.11 a/b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_414775.html	sunvell t95 max tv android box quad core amlogic s905	$55.47	tv box 	2g 	mali-450 	sunvell 	t95 max 		amlogic s905 	2.0ghz,quad core 	black 	ddr3 	32g 	0.400 kg 	16.00 x 11.00 x 2.50 cm / 6.3 x 4.33 x 0.98 inches 	av,dc power port,hdmi,micro sd card slot,rj45,spdif,usb2.0 		bluetooth4.0 			64bit 		android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_484216.html	scishion v88 plus smart tv hd box android system	$28.99	tv box 	2g 	mali-400 	scishion 	v88 plus 		rk3229 	1.5ghz,quad core 	black 	ddr3 	8g 	0.1430 kg 	11.60 x 11.60 x 2.50 cm / 4.57 x 4.57 x 0.98 inches 	av,dc power port,hdmi,rj45,sd card slot,spdif,usb2.0 	2			6051p 	32bit 	500gb 	android 5.1,android 6.0 	802.11b/g/n 
