Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.1, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.94%	85.03%	86.06%	85.35%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.94%	85.03%	86.06%	85.35%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=6, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.97%	85.01%	86.03%	85.33%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.97%	85.01%	86.03%	85.33%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=6, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.97%	85.01%	86.03%	85.32%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.97%	85.01%	86.03%	85.32%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=6, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.99%	84.97%	86.01%	85.31%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=6, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.99%	84.97%	86.01%	85.31%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.99%	84.97%	86.01%	85.31%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	13.99%	84.97%	86.01%	85.31%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=6, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	14.03%	85.01%	85.97%	85.29%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=6, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	14.03%	85.01%	85.97%	85.29%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	14.03%	85.01%	85.97%	85.29%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=6, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	14.03%	85.01%	85.97%	85.29%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	14.05%	85.07%	85.95%	85.29%
