Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.37%	79.03%	80.63%	79.13%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	19.39%	78.29%	80.61%	79.03%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.41%	78.31%	80.59%	78.75%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	19.42%	79.26%	80.58%	79.58%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.54%	79.64%	80.46%	79.46%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.54%	78.68%	80.46%	78.87%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	19.54%	78.62%	80.46%	79.08%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.55%	79.11%	80.45%	79.09%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.55%	78.73%	80.45%	78.79%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.68%	79.49%	80.32%	79.26%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.80%	79.33%	80.20%	79.16%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	19.80%	78.82%	80.20%	79.05%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.81%	79.55%	80.19%	79.30%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.85%	79.45%	80.15%	79.15%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.87%	78.24%	80.13%	78.64%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.89%	79.08%	80.11%	79.20%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	19.89%	78.24%	80.11%	78.37%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	19.91%	78.77%	80.09%	78.88%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.93%	79.28%	80.07%	79.11%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.93%	77.96%	80.07%	78.11%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.06%	80.08%	79.94%	79.32%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	20.07%	78.45%	79.93%	78.60%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.09%	77.63%	79.91%	78.13%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.13%	77.99%	79.87%	78.20%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.13%	77.78%	79.87%	77.97%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	20.15%	78.06%	79.85%	77.98%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.15%	76.95%	79.85%	77.92%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.17%	77.55%	79.83%	78.05%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	20.20%	78.24%	79.80%	78.47%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.48%	77.75%	79.52%	77.83%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.50%	76.83%	79.50%	77.23%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.52%	77.02%	79.48%	77.43%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.54%	77.27%	79.46%	77.50%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.56%	77.50%	79.44%	77.79%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.56%	77.45%	79.44%	77.64%
