Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.34%	82.97%	84.66%	83.53%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.34%	82.97%	84.66%	83.53%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.32%	82.99%	84.68%	83.52%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.32%	82.99%	84.68%	83.52%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.38%	82.95%	84.62%	83.49%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.38%	82.95%	84.62%	83.49%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.38%	82.93%	84.62%	83.46%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.38%	82.93%	84.62%	83.46%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.38%	82.91%	84.62%	83.46%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.38%	82.91%	84.62%	83.46%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.38%	82.89%	84.62%	83.46%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.38%	82.89%	84.62%	83.46%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.38%	82.82%	84.62%	83.41%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.38%	82.82%	84.62%	83.41%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.41%	82.85%	84.59%	83.41%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.41%	82.85%	84.59%	83.41%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.44%	82.79%	84.56%	83.38%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.44%	82.79%	84.56%	83.38%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.43%	82.77%	84.57%	83.36%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.43%	82.77%	84.57%	83.36%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.44%	82.73%	84.56%	83.34%
{ConfidenceFactor=0.2, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.44%	82.73%	84.56%	83.34%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.46%	82.70%	84.54%	83.30%
{ConfidenceFactor=0.1, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.46%	82.70%	84.54%	83.30%
