@relation products

@attribute numberOfWords numeric
@attribute numberOfTotalCharacters numeric
@attribute numberOfAlphabetCharacters numeric
@attribute numberOfNumericCharacters numeric
@attribute numberOfWhiteSpaceCharacters numeric
@attribute numberOfSpecialCharacters numeric
@attribute isNumericValue {true,false}
@attribute isIntegralNumericValue {true,false}
@attribute isDecimalNumericValue {true,false}
@attribute isPrefixedNumber {true,false}
@attribute isPostfixedNumber {true,false}
@attribute class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI,USB_VERSION}

@data
5,26,19,3,4,0,false,false,false,false,false,TITLE
5,25,19,2,4,0,false,false,false,false,false,TITLE
5,25,18,3,4,0,false,false,false,false,false,TITLE
5,26,19,3,4,0,false,false,false,false,false,TITLE
6,30,18,4,5,3,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
9,68,7,33,8,20,false,false,false,false,false,PRODUCT_SIZE
6,46,27,5,5,9,false,false,false,false,false,EXTERNAL_MEMORY
7,46,28,7,6,5,false,false,false,false,false,BATTERY_CAPACITY
4,13,8,2,3,0,false,false,false,false,false,TITLE
4,34,24,4,3,3,false,false,false,false,false,CPU
2,8,6,1,1,0,false,false,false,true,false,CPU
6,40,27,3,5,5,false,false,false,false,false,EXTERNAL_MEMORY
3,13,9,2,2,0,false,false,false,false,true,CAMERA_FRONT
11,72,48,7,10,7,false,false,false,false,false,TITLE
11,63,38,9,10,6,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
10,54,28,12,9,5,false,false,false,false,false,TITLE
5,25,18,3,4,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
7,38,12,14,9,3,false,false,false,false,false,PRODUCT_SIZE
5,26,18,4,4,0,false,false,false,false,false,TITLE
5,27,19,4,4,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
5,27,21,2,4,0,false,false,false,false,false,TITLE
7,44,36,2,6,0,false,false,false,false,false,TITLE
1,4,0,2,0,2,false,false,false,false,true,CAMERA_FRONT
3,28,24,0,2,2,false,false,false,false,false,DEVICE_TYPE
3,12,9,1,2,0,false,false,false,false,true,CAMERA_FRONT
2,4,1,2,1,0,false,false,false,false,true,STORAGE_SSD
6,18,4,7,5,2,false,false,false,false,false,PRODUCT_SIZE
7,41,32,3,6,0,false,false,false,false,false,TITLE
5,24,14,3,4,3,false,false,false,false,false,TITLE
6,28,18,3,5,2,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
4,34,18,5,3,8,false,false,false,false,false,WIRELESS_CONNECTIVITY
5,37,25,3,4,5,false,false,false,false,false,EXTERNAL_MEMORY
3,8,5,1,2,0,false,false,false,false,true,RAM_CAPACITY
2,8,6,1,1,0,false,false,false,true,false,CPU
3,17,11,2,2,2,false,false,false,false,false,OS
3,13,9,2,2,0,false,false,false,false,true,CAMERA_FRONT
9,60,38,7,8,7,false,false,false,false,false,TITLE
24,149,96,14,23,16,false,false,false,false,false,TITLE
2,4,1,2,1,0,false,false,false,false,true,STORAGE_SSD
6,19,4,8,5,2,false,false,false,false,false,PRODUCT_SIZE
10,54,28,12,9,5,false,false,false,false,false,TITLE
5,28,21,3,4,0,false,false,false,false,false,TITLE
7,43,34,3,6,0,false,false,false,false,false,TITLE
8,38,27,4,7,0,false,false,false,false,false,TITLE
1,4,0,2,0,2,false,false,false,false,true,CAMERA_FRONT
5,32,24,3,4,1,false,false,false,false,false,TITLE
7,36,26,1,6,3,false,false,false,false,false,SIM_CARD_SLOT
2,4,1,2,1,0,false,false,false,false,true,STORAGE_SSD
6,22,4,10,5,3,false,false,false,false,false,PRODUCT_SIZE
5,41,23,6,4,8,false,false,false,false,false,BATTERY_CAPACITY
3,15,10,2,2,1,false,false,false,false,false,OS
8,41,22,9,7,3,false,false,false,false,false,TITLE
11,49,33,6,10,0,false,false,false,false,false,TITLE
2,9,3,3,1,2,false,false,false,false,false,CPU_FREQ
6,32,22,0,6,4,false,false,false,false,false,SIM_CARD_SLOT
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
6,36,8,17,8,3,false,false,false,false,false,PRODUCT_SIZE
5,36,26,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
1,8,4,3,0,1,false,false,false,true,false,GPU
2,15,10,4,1,0,false,false,false,true,false,CPU
4,27,18,3,3,3,false,false,false,false,false,CPU_CORES
5,20,13,2,4,1,false,false,false,false,false,TITLE
2,4,2,1,1,0,false,false,false,false,true,SCREEN_SIZE
4,15,10,1,3,1,false,false,false,false,true,SCREEN_TYPE
5,26,19,1,4,2,false,false,false,false,true,SIM_CARD_SLOT
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,43,8,17,11,7,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
7,31,22,3,6,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
11,90,7,47,10,26,false,false,false,false,false,PRODUCT_SIZE
8,63,39,5,7,12,false,false,false,false,false,TITLE
4,30,22,4,3,1,false,false,false,false,false,STORAGE_SSD
3,8,5,1,2,0,false,false,false,false,true,RAM_CAPACITY
2,10,6,3,1,0,false,false,false,true,false,GPU
4,31,21,7,3,0,false,false,false,false,false,CPU
7,44,24,7,7,6,false,false,false,false,false,BATTERY_CAPACITY
2,5,2,2,1,0,false,false,false,false,true,STORAGE_SSD
4,16,3,5,3,5,false,false,false,false,false,CPU_FREQ
10,67,46,4,9,8,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,41,23,6,4,8,false,false,false,false,false,BATTERY_CAPACITY
8,43,22,11,7,3,false,false,false,false,false,NETWORK_4G
6,26,20,1,5,0,false,false,false,false,false,TITLE
2,10,4,3,1,2,false,false,false,false,false,CPU
4,27,16,3,3,5,false,false,false,false,false,WIRELESS_CONNECTIVITY
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
5,37,27,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
2,10,6,3,1,0,false,false,false,true,false,GPU
4,33,23,7,3,0,false,false,false,false,false,CPU
5,27,16,5,4,2,false,false,false,false,false,TITLE
3,17,6,7,2,2,false,false,false,false,false,BATTERY_CAPACITY
9,47,26,10,8,3,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
8,43,22,11,7,3,false,false,false,false,false,NETWORK_4G
7,34,25,3,6,0,false,false,false,false,false,TITLE
3,14,6,3,2,3,false,false,false,false,false,CAMERA_BACK
4,32,21,3,3,5,false,false,false,false,false,WIRELESS_CONNECTIVITY
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
9,74,7,39,8,20,false,false,false,false,false,PRODUCT_SIZE
6,43,25,5,5,8,false,false,false,false,false,EXTERNAL_MEMORY
5,37,27,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
2,10,6,3,1,0,false,false,false,true,false,GPU
4,31,21,7,3,0,false,false,false,false,false,CPU
4,28,18,4,3,3,false,false,false,false,false,CPU
9,39,24,4,8,3,false,false,false,false,false,TITLE
4,18,4,7,3,4,false,false,false,false,false,SCREEN_RESOLUTION
8,50,34,4,7,5,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
8,42,22,10,7,3,false,false,false,false,false,TITLE
7,34,25,3,6,0,false,false,false,false,false,TITLE
6,45,33,0,5,7,false,false,false,false,false,SIM_CARD_SLOT
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
10,85,7,45,9,24,false,false,false,false,false,PRODUCT_SIZE
6,41,24,5,5,7,false,false,false,false,false,EXTERNAL_MEMORY
5,37,27,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
2,10,6,3,1,0,false,false,false,true,false,GPU
4,31,21,7,3,0,false,false,false,false,false,CPU
3,11,3,3,2,3,false,false,false,false,false,CPU_FREQ
6,34,20,4,5,5,false,false,false,false,false,TITLE
4,17,3,7,3,4,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
7,34,24,4,6,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
3,8,5,1,2,0,false,false,false,false,true,RAM_CAPACITY
8,37,26,4,7,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
7,34,25,3,6,0,false,false,false,false,false,TITLE
8,47,33,0,8,6,false,false,false,false,false,SIM_CARD_SLOT
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
8,35,9,13,10,3,false,false,false,false,false,PRODUCT_SIZE
8,50,34,4,7,5,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
7,34,25,3,6,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
5,36,26,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
4,31,21,7,3,0,false,false,false,false,false,CPU
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,43,8,17,11,7,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
7,35,26,3,6,0,false,false,false,false,false,TITLE
7,36,27,3,6,0,false,false,false,false,false,TITLE
7,34,25,3,6,0,false,false,false,false,false,TITLE
7,32,22,4,6,0,false,false,false,false,false,TITLE
3,13,5,3,2,3,false,false,false,false,false,CAMERA_BACK
3,22,13,3,2,4,false,false,false,false,false,OS
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
5,36,26,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
3,8,5,1,2,0,false,false,false,false,true,RAM_CAPACITY
2,10,6,3,1,0,false,false,false,true,false,GPU
4,31,21,7,3,0,false,false,false,false,false,CPU
7,44,24,7,7,6,false,false,false,false,false,BATTERY_CAPACITY
3,11,3,5,2,1,false,false,false,false,false,BATTERY_CAPACITY
16,105,62,11,16,16,false,false,false,false,false,TITLE
2,5,1,3,1,0,false,false,false,false,true,STORAGE_SSD
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
7,34,25,3,6,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
7,31,22,3,6,0,false,false,false,false,false,TITLE
3,13,5,3,2,3,false,false,false,false,false,CAMERA_BACK
7,53,36,4,6,7,false,false,false,false,false,EXTERNAL_MEMORY
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
10,84,22,33,9,20,false,false,false,false,false,NETWORK_4G
7,57,35,5,6,11,false,false,false,false,false,EXTERNAL_MEMORY
5,37,27,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
1,12,7,4,0,1,false,false,false,false,false,GPU
3,15,12,1,2,0,false,false,false,true,false,CPU
7,55,30,10,7,8,false,false,false,false,false,BATTERY_CAPACITY
5,24,6,9,4,5,false,false,false,false,false,TITLE
9,56,36,6,8,6,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,41,23,6,4,8,false,false,false,false,false,BATTERY_CAPACITY
7,34,25,3,6,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
7,34,25,3,6,0,false,false,false,false,false,TITLE
