@RELATION phones

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {Hardware.CPU,Hardware.GPU,BasicInformation.ServiceProvider,Camera.Frontcamera,Battery.BatteryCapacity(mAh),root.price,Network.Networktype,BasicInformation.Type,Network.WirelessConnectivity,Network.WIFI,Network.3G,Hardware.ExternalMemory,Camera.Back-camera,Display.Screenresolution,root.title,Display.Screentype,Display.PixelsPerInch(PPI),Hardware.Cores,DimensionsandWeight.Productsize,BasicInformation.SIMCardType,OtherFeatures.BluetoothVersion,Hardware.ROM,DimensionsandWeight.Productweight,BasicInformation.SIMCardSlot,Display.Screensize,BasicInformation.OS,BasicInformation.Brand,Battery.BatteryType,Network.2G,Network.4G,Hardware.RAM}

@data
6,39,29,3,5,2,false,false,false,false,false,Display.Screentype
4,27,23,1,3,0,false,false,false,false,false,root.title
1,7,7,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,6,0,4,0,2,false,false,false,true,false,root.price
2,32,21,4,1,6,false,false,false,false,false,Network.WirelessConnectivity
2,16,10,4,1,1,false,false,false,false,true,Battery.BatteryCapacity(mAh)
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
3,16,6,4,2,4,false,false,false,false,false,Camera.Frontcamera
3,17,6,5,2,4,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,49,12,18,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
4,23,19,1,3,0,false,false,false,true,false,Display.Screentype
8,53,44,2,7,0,false,false,false,false,false,root.title
1,7,0,5,0,2,false,false,false,true,false,root.price
1,32,24,2,0,6,false,false,false,false,false,Network.WirelessConnectivity
3,36,19,8,3,6,false,false,false,false,false,Battery.BatteryCapacity(mAh)
2,10,6,3,1,0,false,false,false,true,false,Hardware.GPU
4,33,21,7,3,2,false,false,false,false,false,Hardware.CPU
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
5,30,21,3,4,2,false,false,false,false,true,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
5,26,21,1,4,0,false,false,false,false,false,root.title
1,7,0,5,0,2,false,false,false,true,false,root.price
1,17,14,0,0,3,false,false,false,false,false,Network.Networktype
2,16,10,4,1,1,false,false,false,false,true,Battery.BatteryCapacity(mAh)
2,9,6,2,1,0,false,false,false,true,false,Hardware.CPU
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
4,34,29,1,3,1,false,false,false,true,false,Display.Screentype
4,23,18,2,3,0,false,false,false,false,false,root.title
10,52,42,0,9,1,false,false,false,false,false,BasicInformation.SIMCardType
1,6,0,4,0,2,false,false,false,true,false,root.price
1,34,25,2,0,7,false,false,false,false,false,Network.WirelessConnectivity
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
2,8,2,4,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
2,25,19,1,1,4,false,false,false,false,false,Display.Screentype
4,23,18,1,3,1,false,false,false,false,false,root.title
1,7,7,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,24,18,2,0,4,false,false,false,false,false,Network.WirelessConnectivity
9,59,28,20,8,3,false,false,false,false,false,Network.4G
5,32,18,9,4,1,false,false,false,false,false,Network.3G
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
7,33,23,2,6,2,false,false,false,false,false,Hardware.ExternalMemory
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
3,10,1,7,2,0,false,false,false,false,false,Display.Screenresolution
4,22,17,2,3,0,false,false,false,false,false,root.title
1,4,1,2,0,1,false,false,false,true,false,OtherFeatures.BluetoothVersion
1,7,0,5,0,2,false,false,false,true,false,root.price
3,43,33,2,2,6,false,false,false,false,false,Network.WirelessConnectivity
15,105,49,36,14,6,false,false,false,false,false,Network.4G
9,65,36,18,8,3,false,false,false,false,false,Network.3G
1,25,20,0,0,5,false,false,false,false,false,Network.Networktype
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
1,6,2,3,0,1,false,false,false,false,true,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
6,31,24,2,5,0,false,false,false,false,false,root.title
1,7,0,5,0,2,false,false,false,true,false,root.price
2,16,10,4,1,1,false,false,false,false,true,Battery.BatteryCapacity(mAh)
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
5,27,22,1,4,0,false,false,false,false,false,root.title
1,7,0,5,0,2,false,false,false,true,false,root.price
3,45,34,2,2,7,false,false,false,false,false,Network.WirelessConnectivity
2,13,6,4,1,2,false,false,false,false,true,Battery.BatteryCapacity(mAh)
8,43,25,5,9,4,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,49,12,18,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
6,36,29,2,5,0,false,false,false,false,false,root.title
1,8,8,0,0,0,false,false,false,false,false,BasicInformation.OS
1,7,7,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,7,0,5,0,2,false,false,false,true,false,root.price
2,26,12,7,1,6,false,false,false,false,false,Network.4G
1,24,19,0,0,5,false,false,false,false,false,Network.Networktype
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
3,23,18,3,2,0,false,false,false,true,false,Hardware.CPU
2,24,14,5,1,4,false,false,false,false,false,Hardware.Cores
3,11,4,4,2,1,false,false,false,false,false,Camera.Frontcamera
8,36,23,5,7,1,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
