root.title|Processor.ClockSpeed|KeySpecification.Processormanufacturer|Processor.ProcessorModel|Processor.ProcessorNumber|Storage.Harddrivecapacity|Memory.RAMMemory|root.price|Operatingsystem.OperatingSystem|Warranty.ManufacturerWarranty|KeySpecification.Screensize|Display.ScreenResolution|Display.Screensize|Battery.BatteryRunTime|KeySpecification.Colour|Connectivity.WIFI/3GConnectivity(Y/N)
new apple ipad pro wi-fi + 256gb 10.5 inch tablet - rose gold||apple|a10x fusion||256gb||£685|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|rose gold|wi-fi
apple ipad 32gb wifi + cellular 3g/4g 9.7 inch ios tablet - space grey||apple|a9||32gb||£29.97|apple ios 10|1 year warranty|9.7|2048 x 1536|9.7|10hours|space grey|wi-fi, 3g/4g
apple ipad pro 256gb 9.7 inch ios 9 tablet - rose gold||apple|a9x||256gb||£680|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|rose gold|wi-fi
apple ipad pro 128gb 12.9 inch ios 9 tablet - silver||apple|a9x||128gb||£695|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hour(s)|silver|wi-fi
samsung galaxy tab a qualcomm snapdragon 410 1.3ghz 1.5gb 8gb 7 inch android 5.1 tablet|1.3ghz|qualcomm|snapgdragon|410|8gb|1.5gb|£145|android 5.1||7inch|1280 x 800|7inch||black|wi-fi
new apple ipad pro wi-fi + cellular 3g/4g 512gb 10.5 inch tablet - silver||apple|a10x fusion||512gb||£975|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|silver|wi-fi, 3g/4g
apple ipad pro 32gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - space grey|||||||£655||||||||
apple ipad pro 128gb wifi + cellular 3g/4g 12.9 inch ios 9 tablet - gold||apple|a9x||128gb||£885|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hour(s)|gold|wi-fi, 3g/4g
panasonic toughpad fz-m1 core m5-6y57 4gb 128gb ssd 7 inch tablet|1.1ghz|intel|core m5|m5-6y57||4gb|£102.97|windows 10 pro|3 years warranty|7inch|1280 x 800|7inch|9hours|black/white|wi-fi
samsung galaxy tab a sm-t285n t-shark 2a 1.3ghz 1.5gb 8gb 3g/4g 7 inch android 5.1 tablet|1.3ghz||t-shark|2a|8gb|1.5gb|£20.97|android 5.1||7inch|1280 x 800|7inch||black|wi-fi, 3g/4g
apple ipad pro 32gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - gold||apple|a9x||32gb||£650|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|gold|wi-fi, 3g/4g
apple ipad pro 32gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - rose gold||apple|a9x||32gb||£650|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|rose gold|wi-fi, 3g/4g
microsoft surface pro 4 intel core i7 16gb ram 512gb hdd windows 10 pro tablet|2.2ghz||intel core i7|i7-6650u||16gb|£94.97|windows 10 pro|1 year warranty|12.3in|2736 x 1824|12.3in||silver|
new apple ipad 128gb wifi 9.7 inch ios tablet - gold||apple|a9||128gb||£415|apple ios 10|1 year warranty|9.7|2048 x 1536|9.7|10hours|gold|wi-fi
new apple ipad pro wi-fi + cellular 3g/4g 512gb 10.5 inch tablet - space grey||apple|a10x fusion||512gb||£999|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|space grey|wi-fi, 3g/4g
acer iconia one 7 b1-780 mediatek mt8163 1gb 16gb 7 inch android 6.0 tablet|1.3ghz|mediatek|mt8163|mt8163|16gb|1gb|£16.97|android 6.0||7in|1280 x 720|7in||white|wi-fi
apple ipad pro 128gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - rose gold||apple|a9x||128gb||£730|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|rose gold|wi-fi, 3g/4g
acer switch one sw1-011 intel atom x5-z8350 2gb 64gb 10.1 inch windows 10 tablet|1.44ghz|intel|atom x5|z8300|64gb|2gb|£22.97|windows 10||10.1inch|1280 x 800|10.1inch|10hours|black|
panasonic toughbook cf-20 mk1 core m5-6y57 8gb 256gb ssd 10.1 inch windows 10 convertible tablet|1.1ghz|intel|core m5|m5-6y57|256gb|8gb|£261.97|windows 10 pro|3 years warranty|10.1inch|1920 x 1200|10.1inch|7hours|black|wi-fi
"samsung galaxy tab s3 9.7"" wifi 32gb tablet"|2.15 ghz|qualcom|snapdragon||||£60.97|android nougat|||2048 x 1536|9.7 in|||
apple ipad mini 4 128gb wi-fi + cellular 3g/4g tablet - space grey||apple|amd a8||128gb||£535|apple ios 10|1 year warranty|7.9|2048 x 1536|7.9|10hour(s)|space grey|wi-fi, 3g/4g
microsoft surface pro 4 core i5-6300u 8gb 256gb 12.3 inch windows 10 tablet|||||||£124.97||||||||
apple ipad mini 4 128gb 7.9 inch ios 9 tablet - silver||apple|amd a8||128gb||£415|apple ios 10|1 year warranty|7.9|2048 x 1536|7.9|10hour(s)|silver|wi-fi
new apple ipad pro wi-fi + 512gb 10.5 inch tablet - silver|||a10x fusion||512gb||£855|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|silver|wi-fi
apple ipad pro wifi + cellular 256gb 3g/4g 12.9 inch ios 9 tablet - gold||apple|a9x||256gb||£985|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hours|gold|wi-fi, 3g/4g
acer iconia tab 8 w1-810 intel atom quad core z3735g 1gb 32gb 8 inch wifi windows 10 tablet|1.33ghz|intel|intel atom|z3735g||1gb|£38.97|windows 10||8inch|1280 x 800|8inch|8hours|white|wi-fi
acer iconia one 7 b1-780 arm mediatek mt8163 1gb 16gb 7 inch android 6.0 tablet|1.3ghz||mt8163|a53|16gb|1gb|£20.97|android 6.0||7inch|1280 x 720|7inch||black|wi-fi
new apple ipad pro wi-fi + 64gb 10.5 inch tablet - gold||apple|a10x fusion||64gb||£605|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|gold|wi-fi
apple ipad mini 4 128gb wi-fi & cellular 3g/4g tablet - silver||apple|amd a8||128gb||£545|apple ios 10|1 year warranty|7.9|2048 x 1536|7.9|10hour(s)|silver|wi-fi, 3g/4g
