Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	KeySpecification.Processormanufacturer	Processor.ClockSpeed	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Memory.Memorytype	Memory.RAMMemory	root.price	Media.OpticalDrive	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	KeySpecification.Storage	DisplayandKeyboard.ScreenResolution	Battery.BatteryRunTime
http://www.debenhamsplus.com/laptops/p/1193804/asus-rk3288-2gb-16gb-10.1-inch-chrome-os-chromebook-in-gold	asus rk3288 2gb 16gb 10.1 inch chrome os chromebook in gold	integrated				rockchip	1.8ghz	cortex-a17	rk3288c	16gb	lpddr3 sdram	2gb	£19.97	no optical drive	chrome os	1 year warranty	10.1in	16gb	1366 x 768	13hours
http://www.debenhamsplus.com/laptops/p/1201755/msi-titan-pro-gt73vr-core-i7-7820hk-16gb-1tb-256gb-ssd-geforce-gtx-1070-17.3-inch-windows-10-gaming-laptop	msi titan pro gt73vr core i7-7820hk 16gb 1tb + 256gb ssd geforce gtx 1070 17.3 inch windows 10 gaming laptop	dedicated	nvidia	geforce gtx 1080	8gb	intel		intel core i7	7820hk	1tb		16gb	£357.97	none	windows 10	2 year warranty	17.3in	256gb		
http://www.debenhamsplus.com/laptops/p/1119220/msi-gt72s-6qf-dominatorprogdragon-skylake-i7-6820hk-32gb-1tb-512gb-ssd-nvidia-gtx980-8gb-17.3-inch-windows-10-laptop	msi gt72s 6qf dominatorprogdragon core i7-6820hk 32gb 1tb + 512gb ssd geforce gtx 980 17.3 inch wind	dedicated	nvidia	geforce gtx 980	4gb	intel	2.7	intel core i7	6820hk	1		32gb	£272.97	blu ray	windows 10	2 year warranty	17.3in	512		
http://www.debenhamsplus.com/laptops/p/1206205/acer-switch-one-10-sw1-011-intel-atom-x5-z8350-4gb-64gb-ssd-10.1-inch-windows-10-touchscreen-laptop	acer switch one 10 sw1-011 intel atom x5-z8350 4gb 64gb ssd 10.1 inch windows 10 touchscreen laptop	integrated				intel	1.44ghz	atom x5	z8350		ddr3l sdram	4gb	£72.97	no optical drive	windows 10	1 year warranty	10.1in	64gb	1280 x 800	10hours
http://www.debenhamsplus.com/laptops/p/1186865/dell-vostro-5468-core-i5-7200u-4gb-500gb-14-inch-windows-10-professional-laptop	dell vostro 5468 core i5-7200u 4gb 500gb 14 inch windows 10 professional laptop	integrated				intel	2.5ghz	intel core i5	7200u	500gb	ddr4 sdram	4gb	£44.97	no optical drive	windows 10 pro	1 year warranty	14in	500gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1165687/acer-predator-g9-793-core-i7-6700hq-16gb-1tb-128gb-ssd-geforce-gtx-1070-dvd-rw-17.3-inch-windows-10	acer predator g9-793 core i7-6700hq 16gb 1tb 128gb ssd geforce gtx 1070 dvd-rw 17.3 inch windows 10	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.6	intel core i7	6700hq	1	ddr4 sdram	16gb	£357.97	dvd-rw	windows 10	1 year warranty	17.3in	128	1920 x 1080	7hours
http://www.debenhamsplus.com/laptops/p/1203566/asus-rog-strix-core-i5-7300hq-12gb-1tb-128gb-ssd-nvidia-gtx-1060-15.6-inch-full-hd-windows-10-gaming-laptop	asus rog strix core i5-7300hq 12gb 1tb + 128gb ssd nvidia gtx 1060 15.6 inch full hd windows 10 gaming laptop	dedicated	nvidia	geforce gtx 1060		intel	2.5ghz	intel core i5	7300hq	1tb	ddr4 sdram	12gb	£341.97	no optical drive	windows 10	1 year warranty	15.6in	1tb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1204743/asus-x550vx-core-i5-7300hq-8gb-1tb-128gb-ssd-geforce-gtx-950-15.6-inch-windows-10-gaming-laptop	asus x550vx core i5-7300hq 8gb 1tb + 128gb ssd geforce gtx 950 15.6 inch windows 10 gaming laptop	dedicated	nvidia	geforce gtx 950m	2gb	intel	2.5ghz	intel core i5	7300hq	1tb	ddr4 sdram	8gb	£143.97	dvd-rw	windows 10		15.6in	1tb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1164234/asus-gl552vw-core-i5-6300hq-8gb-1tb-128gb-ssd-geforce-gtx-960m-2gb-dvd-rw-15.6-inch-windows-10-gam	asus rog gl552vw core i5-6300hq 8gb 1tb + 128gb ssd geforce gtx 960m dvd-rw 15.6 inch windows 10 gaming laptop includes bag mouse & headset	dedicated	nvidia	geforce gtx 960m	2gb	intel	2.3	intel core i5	6300hq	1	ddr4 sdram	8gb	£224.98	dvd-rw	windows 10	1 year warranty	15.6in	128	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1091358/hp-zbook-studio-g3-mobile-workstation-xeon-e3-1505mv5-2.8-ghz-windows-7-professional-64-bit-edition-windows-10-pro-64-bit-edition-downgrade-pre-installed_-windows-7-16	hp zbook studio g3 intel xeon e3-1505mv5 16gb 512gb ssd 15.6 inch windows 7 professional laptop	integrated				intel	2.8ghz	xeon	1505mv5		ddr4 sdram	16gb	£872.97	no optical drive	windows 7 pro	3 year warranty	15.6in	512gb	3840 x 2160	
