root.title|root.price|TechnicalSpecifications.RearCameraQuality|TechnicalSpecifications.FrontFacingCameraQuality|TechnicalSpecifications.SIMcardtype|TechnicalSpecifications.ProcessorType|TechnicalSpecifications.ProcessorSpeed|TechnicalSpecifications.RAM|TechnicalSpecifications.OnboardStorage|TechnicalSpecifications.ScreenResolution|TechnicalSpecifications.Screensize|TechnicalSpecifications.OperatingSystem|TechnicalSpecifications.NetworkSpeeds
"xperia x compact white 4.6"" 32gb 4g unlocked & sim free"|£114.97|23 megapixel||nano sim|hexa core|1.8 & 1.4ghz|3gb|32gb|720p||android 6.0 marshmallow|4g
"alcatel pixi 4 black 5"" 4g nfc"|£89|8 megapixel|5 megapixel|micro sim|quad core|everyday|1gb|8gb|under 720p|5 inches|android 6.0 marshmallow|4g
samsung galaxy j3 black 2016 5 inch 8gb 4g unlocked & sim free|£60.99|8 megapixel|5 megapixel|micro sim|quad core|everyday|1.5gb|16gb|720p|5 inches|android 5.1 lollipop|4g
"apple iphone se rose gold 4"" 32gb 4g unlocked & sim free"|£385|12 megapixel||nano sim|dual core|performance|2gb|32gb|under 720p||ios 9|4g
"alcatel u5 4g cocoa grey 5"" 8gb 4g unlocked & sim free"|£10.97|5 megapixel|2 megapixel|micro sim|quad core|everyday|1gb|8gb|854x480 pixels|5 inches|android 6.0 marshmallow|4g
"sony xperia l1 black 5.5"" 16gb 4g unlocked & sim free"|£22.97|13 megapixel|5 megapixel|nano sim|quad core|1.45ghz|2gb|16gb|1280 x 720 pixels|5.5 inches|android 7.0 nougat|4g
"apple iphone 7 gold 4.7"" 128gb 4g unlocked & sim free"|£684|12 megapixel|7 megapixel|nano sim|quad core|performance|2gb|128gb|720p|4.7 inches|ios 10|4g
"alcatel a3 xl grey & silver 6"" 16gb 4g unlocked & sim free"|£7.97|8 megapixel|5 megapixel|micro sim|quad core|1.1ghz|2gb|16gb|1280 x 720 pixels|6 inches|android 7.0 nougat|4g
"samsung galaxy s7 edge black 5.5"" 32gb 4g unlocked & sim free"|£80|12 megapixel||nano sim||2.3ghz|4gb|32gb||5.5 inches|android 6.0 marshmallow|4g
"samsung galaxy s7 flat black onyx 5.1"" 32gb 4g unlocked & sim free"|£160.99|12 megapixel||nano sim|quad core|2.3ghz|4gb|||5.1 inches|android 6.0 marshmallow|4g
"archos 50f neon black 5"" 8gb 3g unlocked & sim free"|£11.97|8 megapixel||nano sim|quad core|everyday|1gb|8gb|under 720p|5 inches|android 7.0 nougat|3g
"motorola moto c metallic cherry 5"" 16gb 4g unlocked & sim free"|£15.97|5 megapixel|2 megapixel|micro sim|quad core|1.1ghz|1gb|16gb|854x480|5 inches|android 7.0 nougat|4g
"apple iphone 7 plus black 5.5"" 256gb 4g unlocked & sim free"|£854|12 megapixel|7 megapixel|nano sim|quad core|performance|3gb|256gb|1080p and over|5.5 inches|ios 10|4g
huawei y6 8gb white dual sim|£15.97|||||||||||
"htc u 11 brilliant black 5.5"" 64gb 4g unlocked & sim free"|£108.97|12 megapixel|16 megapixel|nano sim|octa core|2.45ghz|4gb|64gb|1080p and over|5.5 inches|android 7.0 nougat|4g
"samsung galaxy j3 gold 2016 5"" 8gb 4g unlocked & sim free"|£60.99|8 megapixel|5 megapixel|micro sim|quad core|everyday|1.5gb|8gb|720p|5 inches|android 5.1 lollipop|4g
"samsung galaxy s6 gold 5.1"" 32gb 4g unlocked & sim free"|£114.99|16 megapixel|5 megapixel|nano sim|octa core|performance|3gb|32gb|1080p and over|5.1 inches|android 5.0 lollipop|4g
"apple iphone 7 gold 4.7"" 32gb 4g unlocked & sim free"|£604|12 megapixel|7 megapixel|nano sim|quad core|performance|2gb|32gb|720p|4.7 inches|ios 10|4g
"blackberry dtek50 black 5.2"" 16gb 4g unlocked & sim free"|£64.99|13 megapixel|8 megapixel|nano sim|quad core|everyday|3gb|16gb|1080p and over|5.2 inches|android 6.0 marshmallow|4g
"cubot rainbow 2 gold 5"" 16gb 3g unlocked & sim free"|£3.97|12 megapixel|2 megapixel|nano sim|quad core|everyday|1gb|16gb|720p|5 inches|android 7.0 nougat|3g
"samsung galaxy s8+ black 6.2"" 64gb 4g unlocked & sim free"|£132.97|12 megapixel|8 megapixel|nano sim|samsung exynos|2.4 & 1.9ghz|4gb|64gb|1440x2960 pixels|6.2 inches|android 7.0 nougat|4g
"apple iphone se space grey 4"" 32gb 4g unlocked & sim free"|£408|12 megapixel||nano sim|dual core|performance|2gb|32gb|under 720p||ios 9|4g
"blackberry passport black 4.5"" 32gb 4g unlocked & sim free"|£124.99|13 megapixel||nano sim|quad core|performance|3gb|32gb|1080p and over|4.5 inches|blackberry|4g
"motorola moto g5 lunar grey 5"" 16gb 4g unlocked & sim free"|£37.97|13 megapixel||nano sim|octa core|everyday|2gb|16gb|1080p and over|5 inches|android 7.0 nougat|4g
"samsung xcover 4 black 5"" 16gb 4g unlocked & sim free"|£59.97|13 megapixel|5 megapixel|micro sim|quad core|1.4ghz|2gb|16gb|1280 x 720 pixels||android 7.0 nougat|4g
apple iphone se gold 16gb 4g unlocked & sim free|£54|12 megapixel||nano sim|dual core|performance|2gb|16gb|under 720p|4 inches|ios 9|4g
"lg g6 ice platinum 5.7"" 32gb 4g unlocked & sim free"|£59.97|13 megapixel|5 megapixel|nano sim|quad core|2.3 & 1.6ghz|4gb|32gb|1440x2880 pixels|5.7 inches|android 7.0 nougat|4g
