Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	Processor.ClockSpeed	KeySpecification.Processormanufacturer	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Storage.SSDCapacity	Memory.Memorytype	Memory.RAMMemory	root.price	KeySpecification.Formfactor	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	Display.ScreenResolution
http://www.debenhamsplus.com/desktops/p/1205714/zoostorm-voyager-amd-ryzen-5-1400-8gb-1tb-geforce-gtx-1050-dvd-rw-windows-10-gaming-desktop	zoostorm voyager amd ryzen 5 1400 8gb 1tb geforce gtx 1050 dvd-rw windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1050	2gb	3.2ghz	amd	ryzen 5	1400	1tb			8gb	£685	atx	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1199086/lenovo-ideacentre-y710-cube-15ish-core-i5-6400-8gb-1tb-geforce-gtx-1070-windows-10-gaming-desktop	lenovo ideacentre y710 cube-15ish core i5-6400 8gb 1tb geforce gtx 1070 windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1070	8gb	2.7ghz	intel	intel core i5	6400	1tb			8gb	£1085	tower	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1139083/hp-z640-intel-xeon-x5-2650v4-2.2ghz-32gb-512gb-ssd-windows-7-professional-workstation-desktop	hp z640 intel xeon x5-2650-v4 32gb 512gb ssd windows 7 professional workstation desktop	integrated	intel			2.2ghz	intel	xeon x5	2650v4		512gb	ddr4 sdram	32gb	£865.97		windows 7 pro	3 years warranty		
http://www.debenhamsplus.com/desktops/p/879346/hewlett-packard-hp-t60-wes7p-4c-16gf4gr-vga	hewlett packard hp t620 wes7p 4c 16gf/4gr vga					1.5ghz	amd	gx-415ga				ddr3l sdram	4gb	£69.98		microsoft windows 7 embedded standard			
http://www.debenhamsplus.com/desktops/p/1176079/zoostorm-evolve-core-i3-7100-8gb-2tb-dvd-rw-windows-10-desktop	zoostorm evolve core i3-7100 8gb 2tb dvd-rw windows 10 desktop	integrated	hd graphics			3.9ghz	intel	intel core i3	i3-7100	2tb		ddr4 sdram	8gb	£445	m-atx	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1160636/hewlett-packard-hp-t630-amd-gx-420gi-2ghz-4gb-32gb-amd-radeon-r6e-windows-7e-thin-client-desktop	hp zbook 17 g3 core i7-6700hq 8gb 500gb 17.3 inch windows 7 professional laptop	integrated				2.6ghz	intel	intel core i7	6700hq	500gb		ddr4 sdram	8gb	£141.97		windows 7 pro	3 year warranty	17.3in	
http://www.debenhamsplus.com/desktops/p/1109014/msi-vortex-g65-008uk-skylake-core-i7-6700k-8gb-1tb-nvidia-gtx980-8gb-windows-10-gaming-desktop	lenovo yoga core i5-6260u 8gb 256gb ssd 13.3 inch windows 10 laptop	integrated				1.8ghz	intel	intel core i5	6260u		256gb	lpddr3 sdram	8gb			windows 10	1 year warranty	13.3in	
http://www.debenhamsplus.com/desktops/p/1143916/msi-aegis-x-002eu-b7670k-core-i7-6700k-4ghz-16gb-2tb-256gb-ssd-geforce-gtx-1070-8gb-dvd-rw-windows-10-gaming-desktop	microsoft surface book core i7-6600u 16gb 1tb ssd geforce gtx 965m 13.5 inch windows 10 professional laptop	dedicated	nvidia	geforce gtx 965m	2gb	2.6ghz	intel	intel core i7	6600u		1tb	lpddr3 sdram	16gb	£275.97		windows 10 pro	1 year warranty	13.5in	3000 x 2000
http://www.debenhamsplus.com/desktops/p/891718/hewlett-packard-hp-flexible-thin-client-t50-gx-1jc-1.-ghz-4gb-16gb-microsoft-windows-embedded-standard-7e-3-bit-thin-client	asus eeebook e200ha intel atom z8350 2gb 32g 11.6 inch windows 10 laptop - white	integrated				1.44ghz	intel	atom x5	z8350	32gb		ddr3 sdram	2gb	£44.97		windows 10	1 year warranty	11.6in	
http://www.debenhamsplus.com/desktops/p/1189420/zoostorm-delta-micro-core-i7-6700-8gb-1tb-dvd-rw-windows-10-desktop	asus zenbook flip ux560uq core i7-7500u 12gb 2tb + 512gb ssd 15.6 inch windows 10 convertible laptop	dedicated	nvidia		2gb	2.7ghz	intel	intel core i7	7500u	2tb	512gb	ddr4 sdram	12gb	£235.97		windows 10	1 year warranty	15.6in	
http://www.debenhamsplus.com/desktops/p/1130105/hp-z440-intel-xeon-e5-1603v3-2.8ghz-8gb-1tb-dvd-rw-windows-7-professional-workstation-desktop	hp zbook 15 g3 intel xeon e3-1505mv5 16gb 256gb ssd 15.6 inch windows 7 professional laptop	integrated				2.8ghz	intel	xeon	1505mv5		256gb	ddr4 sdram	16gb	£516.98		windows 7 pro	3 year warranty	15.6in	
http://www.debenhamsplus.com/desktops/p/1067064/hp-workstation-z240-mt-1-x-core-i5-6600-3.3-ghz-ram-8-gb-hdd-1-tb-dvd-supermulti-hd-graphics-530-gige-windows-7-professional-64-bit-edition-windows-10-pro-downg	toshiba tecra z50-c-12f core i7-6600u 16gb 256gb ssd geforce 930m 15.6 inch windows 7 professional l	dedicated	nvidia	geforce 930m		2.6ghz	intel	intel core i7	6600u		256gb	ddr3l sdram	16gb	£194.97		windows 7 pro	1 year warranty	15.6in	
http://www.debenhamsplus.com/desktops/p/1144782/lenovo-thinkstation-p410-30b3-xeon-e5-1630v4-16gb-256gb-ssd-dvd-rw-windows-10-professional-desktop	hp probook 640 g2 core i5-6200u 4gb 500gb dvd-rw 14 inch windows 7 professional laptop	integrated				2.3ghz	intel	intel core i5	6200u	500gb		ddr4 sdram	4gb	£84.97		windows 10 pro	1 year warranty	14in	
http://www.debenhamsplus.com/desktops/p/1183699/msi-cubi-2-014uk-core-i3-7100u-4gb-128gb-ssd-windows-10-desktop	msi titan sli 4k gt73vr core i7-7820hk 32gb 1tb + 512gb ssd 2x geforce gtx 1070 17.3 inch windows 10	dedicated	nvidia	geforce gtx 1070	8gb	2.9	intel	intel core i7	i7-7820hk	1	512	ddr4 sdram	32gb	£404.97		windows 10	2 years warranty	17.3in	
http://www.debenhamsplus.com/desktops/p/1143918/msi-aegis-033eu-b56400-core-i5-6400-16gb-1tb-256gb-ssd-geforce-gtx-1070-8gb-dvd-rw-windows-10-gaming-desktop	fujitsu lifebook a557 core i5-7200u 8gb 256gb ssd 15.6 inch windows 10 professional laptop	integrated				2.5ghz	intel	intel	7200u		256gb	ddr4 sdram	8gb	£66.97		windows 10 pro	1 year warranty	15.6in	
http://www.debenhamsplus.com/desktops/p/1210838/hp-280-g2-core-i5-4gb-500gb-dvd-rw-windows-10-professional-desktop-aoc-21.5-hd-ready-monitor	toshiba portégé z30-c-16j core i5-6200u 8gb 256gb ssd 13.3 inch windows 10 professional laptop	integrated				2.3ghz	intel	intel core i5	6200u		256gb	ddr3l sdram	8gb	£284.97		windows 10 pro	1 year warranty	13.3in	
http://www.debenhamsplus.com/desktops/p/1193372/asus-zen-core-i5-7200u-8gb-1tb-geforce-gtx-940mx-23.8-inch-windows-10-all-in-one	toshiba sat pro pentium 4405u 4gb 128gb ssd dvd-rw 14 inch windows 10 professional laptop	integrated					intel	intel pentium	4405u		128gb		4gb	£25.97		windows 10 pro	1 year warranty	14in	
http://www.debenhamsplus.com/desktops/p/1205860/new-apple-imac-core-i5-8gb-2tb-3.8ghz-27-inch-all-in-one-with-retina-5k-display	hp omen 17-w111na core i7-6700hq 16gb 512gb ssd geforce gtx 1070 17.3 inch windows 10 gaming laptop	dedicated	nvidia	geforce gtx 1070	8gb	2.6ghz	intel	intel core i7	6700hq		512gb	ddr4 sdram	16gb	£270.97		windows 10	1 year warranty	17.3in	
